"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.50863673769091,0.817,0.093,0,"0","SKAP1"
0,3.15954617368009,0.787,0.139,0,"0","IKZF1"
0,2.99781278197596,0.827,0.183,0,"0","ARHGAP15"
0,2.7212815045648,0.845,0.24,0,"0","PARP8"
0,1.86921728506606,0.812,0.211,0,"0","PTPRC"
0,4.42070886574322,0.623,0.03,0,"0","THEMIS"
0,3.05597564261599,0.651,0.101,0,"0","RIPOR2"
0,4.29751549783418,0.562,0.036,0,"0","CD96"
0,2.62497382133891,0.64,0.12,0,"0","ETS1"
0,3.98362446502942,0.557,0.04,0,"0","BCL11B"
0,2.03053802591832,0.797,0.292,0,"0","CHST11"
0,3.06483053565019,0.597,0.109,0,"0","NIBAN1"
0,3.02942614689385,0.574,0.095,0,"0","FYB1"
0,3.44438138961826,0.48,0.028,0,"0","CAMK4"
0,3.16485010445393,0.491,0.054,0,"0","SLFN12L"
0,3.24366496605078,0.518,0.09,0,"0","AC079793.1"
0,2.91230981457241,0.498,0.08,0,"0","ITGA4"
0,3.3760914824705,0.507,0.091,0,"0","RESF1"
0,3.50170375291546,0.446,0.039,0,"0","ITK"
0,5.32418847455348,0.429,0.023,0,"0","LINC02694"
0,3.41219161270444,0.458,0.059,0,"0","EMB"
0,3.11989528927838,0.435,0.046,0,"0","GRAP2"
0,4.05549020388123,0.368,0.024,0,"0","LINC01934"
0,3.90515391511952,0.355,0.025,0,"0","SCML4"
0,3.82792502325183,0.359,0.033,0,"0","IL7R"
0,3.93973940611855,0.354,0.028,0,"0","CD226"
0,3.69883493226243,0.316,0.024,0,"0","ZNF831"
0,4.28835006024319,0.275,0.013,0,"0","CD2"
4.63610710334311e-308,2.97115046086798,0.503,0.102,1.1677890182611e-303,"0","TRERF1"
6.98906443243548e-304,2.86914533483163,0.441,0.07,1.76047543988617e-299,"0","SEMA4D"
1.70352216972767e-297,2.33478349428387,0.467,0.078,4.29100199332703e-293,"0","CARD11"
2.36601838781484e-293,2.15487612096621,0.757,0.322,5.95976371706679e-289,"0","CCND3"
3.86058507987902e-287,1.95933731097984,0.659,0.189,9.72442775770727e-283,"0","IQGAP2"
7.0850437081261e-277,2.13193323266096,0.487,0.094,1.78465165963988e-272,"0","STAT4"
8.24431467177812e-277,2.09838148524277,0.579,0.143,2.07666042267419e-272,"0","AOAH"
4.14920517980374e-274,2.49670774391288,0.554,0.143,1.04514329274077e-269,"0","INPP4B"
1.11888544666363e-272,2.10558219013937,0.692,0.246,2.81836055160101e-268,"0","PIP4K2A"
3.48559822198138e-269,3.5601225202965,0.432,0.088,8.7798733613489e-265,"0","RUNX2"
2.12739428107835e-267,1.64591921280926,0.444,0.074,5.35869345460826e-263,"0","CD247"
5.8523025951314e-260,3.25170565395938,0.321,0.038,1.47413650068765e-255,"0","PPP2R2B"
3.55977511757536e-259,1.73982350193768,0.745,0.301,8.96671754366058e-255,"0","PRKCH"
2.39464872951941e-257,2.69422867687451,0.473,0.106,6.03188068478643e-253,"0","APBB1IP"
7.97255218339513e-256,1.41956238634043,0.699,0.219,2.0082061694754e-251,"0","FYN"
5.27997597330578e-251,1.89174526278919,0.755,0.36,1.32997314791599e-246,"0","ANKRD44"
2.99054493727915e-250,2.12761962152864,0.582,0.166,7.53288364251244e-246,"0","DOCK10"
2.33236964159681e-249,2.1713132210152,0.569,0.161,5.87500589021821e-245,"0","DOCK2"
5.30193692431835e-247,2.60105348736807,0.545,0.155,1.33550489186655e-242,"0","BCL2"
7.67065320018878e-245,2.75058317096277,0.474,0.115,1.93216083459555e-240,"0","TNFAIP8"
2.09619133968099e-239,3.40098982201718,0.25,0.021,5.28009636552246e-235,"0","CD6"
