"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"UTY",1.04716480390367e-74,11.526616953707,0.341,0,2.63770342455295e-70
"TTTY14",3.4018100698666e-54,11.1834900395576,0.253,0,8.56881938498698e-50
"USP9Y",1.07574573078031e-50,9.66296954629158,0.241,0.001,2.70969592126252e-46
"IFI44L",1.98339001353145e-43,6.8186388282127,0.218,0.005,4.99596110508436e-39
"JUND",1.53497898411321e-46,5.23204341744459,0.257,0.014,3.86645856308277e-42
"ATP1B3",1.84059657315599e-61,3.55188979338513,0.498,0.127,4.63627870812262e-57
"SLC38A2",1.38745491743163e-26,3.3694497320886,0.235,0.05,3.49486019151854e-22
"ELF3",9.69773563260654e-35,3.03312946552773,0.341,0.092,2.44276262849726e-30
"XAF1",8.08634032844362e-33,3.00384835899684,0.3,0.069,2.03686826533166e-28
"NAMPT",3.74959258229626e-27,2.86524391417694,0.276,0.07,9.44484875554606e-23
