"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"UTY",9.03662499898174e-65,11.7688107049392,0.398,0,2.27623547099351e-60
"TSIX",2.26010967033286e-55,-11.2861127582765,0,0.863,5.69299024860145e-51
"USP9Y",2.80721549923004e-46,7.24652865892413,0.305,0.003,7.07109512101056e-42
"XIST",1.13482627436468e-45,-10.6488451346205,0,0.772,2.85851390249719e-41
"SLC2A3",1.63212414755687e-32,7.80894823534591,0.227,0.004,4.11115751528099e-28
"JUND",2.3498025080728e-32,6.22748651120375,0.227,0.004,5.91891753758457e-28
"ROS1",2.62734552476931e-31,-1.76903949865577,0.453,0.915,6.61802064234141e-27
"SNX25",4.492382592757e-29,-1.52617840825742,0.539,0.924,1.13158625128956e-24
"ZBTB16",3.83261901468724e-28,-1.95622661721091,0.305,0.85,9.65398403609569e-24
"AKAP13",1.75146764531376e-27,-1.14946576326746,0.836,0.953,4.41177185178084e-23
"NAMPT",1.76069283125577e-25,3.94022432234358,0.414,0.091,4.43500917265016e-21
"SFTA3",4.2861656730711e-23,-1.446218111069,0.359,0.849,1.07964227138988e-18
"NEAT1",8.71790571414512e-23,0.871665884858665,0.992,0.979,2.19595327033601e-18
"AL132857.1",2.92865721769694e-21,-2.35329514806002,0.148,0.651,7.37699466565682e-17
"DMBT1",5.49337663966332e-20,2.53342351215371,0.461,0.138,1.38372664176479e-15
"PEBP4",1.54525739674888e-19,-1.88288595066843,0.25,0.724,3.89234885667075e-15
"SECISBP2L",2.73194872951225e-19,-1.81375245958137,0.305,0.739,6.88150565476841e-15
"PTPN13",3.01230926331532e-18,-1.60146280848915,0.328,0.784,7.58770580336496e-14
"BHLHE40",3.28824278613587e-18,4.01928753725175,0.25,0.04,8.28275475399765e-14
"MAGI3",8.01850061650894e-18,-1.52887512043765,0.305,0.752,2.01978012029244e-13
"NTN4",1.09242148289218e-17,-2.75955555118053,0.109,0.549,2.75170047325711e-13
"SAT1",1.58027924181054e-17,2.48170068238098,0.602,0.341,3.98056538219656e-13
"ATP1B3",1.20556335388229e-16,4.07488624105658,0.266,0.053,3.03669353209409e-12
"NFIA",3.06847302549491e-16,-1.8908784205247,0.148,0.589,7.72917670391912e-12
"TBC1D4",5.98526606605451e-16,-2.06150977926472,0.117,0.548,1.50762866937847e-11
"ESYT2",6.67536383693452e-16,2.06059501475333,0.539,0.263,1.68145739688544e-11
"FRMD4B",7.37357663594431e-16,-1.21918384649402,0.445,0.805,1.85733021882801e-11
"ELF3",8.91461061844673e-16,2.99027335327102,0.312,0.079,2.24550126868055e-11
"TOP1",9.95150232918196e-16,1.83082233448265,0.656,0.433,2.50668392169764e-11
"VEPH1",1.00619028210482e-15,-2.56305537582171,0.07,0.477,2.53449270159384e-11
"CD55",1.27753871697229e-15,2.89721053904136,0.422,0.162,3.21799227418149e-11
"TANC2",1.89354827082713e-15,1.16476153794374,0.828,0.746,4.76965873938645e-11
"DOCK8",2.38516190592243e-15,-6.09700830243827,0.008,0.369,6.00798432482801e-11
"ADGRF5",5.04658050668582e-15,-1.69302202053437,0.195,0.626,1.27118316382909e-10
"NFATC3",5.56279951575042e-15,-4.56360975355024,0.016,0.376,1.40121357002237e-10
"RHOBTB2",2.36071509805408e-14,-2.31642663001247,0.078,0.465,5.94640526048842e-10
"CTSH",4.43064279343081e-14,-1.78573197576903,0.133,0.539,1.11603461323729e-09
"SIK3",6.31746161712076e-14,1.49835227334862,0.703,0.543,1.59130540673655e-09
"SNX30",7.53631278376875e-14,-1.61351917009439,0.211,0.628,1.89832182710351e-09
"CHD2",2.36200888110523e-13,1.55653982750481,0.68,0.543,5.94966417061597e-09
"SLC22A3",1.32663720826944e-12,-1.83438168677245,0.148,0.52,3.34166646390989e-08
"CEP112",3.61013910117166e-12,-1.62688337980953,0.141,0.515,9.09357938194131e-08
"SDCCAG8",3.65299298247073e-12,-1.30569370167476,0.32,0.684,9.20152402354551e-08
"DRAM1",4.21423667601523e-12,1.56020977329152,0.625,0.439,1.06152407632148e-07
"RNF145",5.00904992550904e-12,1.60372760615004,0.641,0.488,1.26172958573647e-07
"LDLR",5.49416092493242e-12,2.14045176079897,0.492,0.272,1.38392419538123e-07
"AC010998.1",5.57419226744772e-12,-1.22705846500226,0.312,0.714,1.40408329024741e-07
"TM7SF3",9.14895050458226e-12,-3.14132659988455,0.023,0.329,2.30452914259923e-07
"MACROD2",1.10554340569357e-11,-1.18548356656835,0.508,0.802,2.78475328460152e-07
"JPX",1.31186730248103e-11,-1.86268953854527,0.094,0.442,3.30446254821946e-07
"ST6GAL1",1.47881788916839e-11,-1.87574686698989,0.148,0.493,3.72499438102625e-07
"CD36",2.08309159695511e-11,-2.76678873940667,0.055,0.363,5.24709942357022e-07
"HIF1A",2.41400124654081e-11,2.44451671595776,0.367,0.156,6.08062773991166e-07
"AKAP7",3.24189252423942e-11,-4.19028211261018,0.008,0.288,8.16600307930666e-07
"TSPAN14",3.76769076595252e-11,-8.06345593105038,0,0.27,9.49043627035781e-07
"LRP2BP",3.83439118554191e-11,-1.58255353823701,0.141,0.489,9.65844795726152e-07
"C8orf34",4.11786218386262e-11,-1.53050871461753,0.266,0.602,1.03724830549316e-06
"DLGAP1",4.43279544352772e-11,-1.78537952462325,0.07,0.392,1.1165768442702e-06
"AC046195.1",4.89514257896268e-11,-1.87935888176917,0.125,0.463,1.23303746421491e-06
"WNK1",5.03295609222509e-11,-1.43470332787928,0.125,0.477,1.26775131007058e-06
"ATP10A",5.94809180077608e-11,-3.96537960947362,0.008,0.282,1.49826484369749e-06
"ELL2",6.09083201661788e-11,1.6859243121694,0.531,0.33,1.53421967666588e-06
"P4HA1",7.02852822904374e-11,2.60110956946627,0.328,0.129,1.77041597561383e-06
"ITPR1",7.33580525988447e-11,-1.9559732614984,0.086,0.411,1.8478159869123e-06
"GLIS3",7.55294865009507e-11,-1.28118938313774,0.234,0.59,1.90251223547245e-06
"AFF3",1.09260161609973e-10,-0.787793848138072,0.703,0.897,2.75215421079361e-06
"SFTPB",1.23519665188047e-10,-0.386677646481213,1,0.999,3.11133684642171e-06
"EDIL3",1.24815360951601e-10,-7.81888902185849,0,0.258,3.14397412700987e-06
"OSMR",1.2737623536788e-10,2.03975451468032,0.469,0.263,3.20847999268152e-06
"AC096531.2",1.65689638183197e-10,-1.52277176471008,0.219,0.543,4.17355629619655e-06
"ANKS1B",1.67809712794349e-10,-8.08550254535016,0,0.256,4.22695885557687e-06
"FGGY",1.81301369992435e-10,-1.72097440070192,0.07,0.385,4.56680020873944e-06
"AC016745.1",1.94477214470809e-10,-7.95595161507695,0,0.254,4.89868655530521e-06
"BMP1",2.64702221524206e-10,-2.01311123163484,0.086,0.398,6.66758425797323e-06
"ANKRD12",2.79107218130573e-10,1.27152534392505,0.641,0.468,7.030431717491e-06
"NPNT",2.85449206869371e-10,-1.40191761421911,0.203,0.542,7.19018007183258e-06
"CACNA2D2",3.76997640666956e-10,-1.3902896756822,0.203,0.54,9.49619357075995e-06
"FAM135A",4.51070382186888e-10,1.74051492529477,0.477,0.276,1.13620118569055e-05
"DEPTOR",6.25176097069755e-10,-7.98220202503952,0,0.242,1.57475607090901e-05
"CTNNA1",9.41138075633344e-10,1.71032738556165,0.562,0.416,2.37063269871283e-05
"FCHO2",1.12931003926787e-09,-1.08351914204404,0.188,0.526,2.84461905791183e-05
"PDSS2",1.30937873791306e-09,-1.52102058474643,0.102,0.407,3.29819410292921e-05
"GPC4",1.48047889418929e-09,-4.77893815393642,0.008,0.248,3.7291782865734e-05
"SFRP4",1.53306766900764e-09,-4.04496021003603,0.016,0.261,3.86164415146335e-05
"ACADL",1.54142160970764e-09,-1.22865778988842,0.266,0.592,3.88268689269258e-05
"SHROOM3",1.67032371227759e-09,-1.22941062156054,0.359,0.678,4.20737839885602e-05
"PTPRD",2.07182036667291e-09,-1.35558930026812,0.195,0.517,5.21870832161238e-05
"CCDC141",2.18014696447729e-09,-0.839002131281004,0.539,0.816,5.49157218882183e-05
"AL022068.1",2.26730780673203e-09,-7.9525104720028,0,0.229,5.71112163437731e-05
"CSF3R",3.65001981934535e-09,-1.24876818369547,0.18,0.499,9.194034922949e-05
"CPM",3.67133996122401e-09,-1.15038782516516,0.43,0.721,9.24773822832717e-05
"WWOX",3.9787232521305e-09,-1.21335368736104,0.312,0.631,0.000100220059997915
"SLC4A4",4.36654460293182e-09,1.58091095148532,0.602,0.467,0.00010998889200325
"SIPA1L3",4.54017454186368e-09,-1.61444614860506,0.078,0.363,0.000114362456535004
"ST3GAL5",4.67253751957905e-09,-1.52217271063966,0.094,0.383,0.000117696547580677
"NPAS2",5.49678598320835e-09,-4.51142721311563,0.008,0.235,0.000138458542131035
"CXCL2",5.56091165184938e-09,3.20528262854864,0.211,0.063,0.000140073803598434
"AC092640.1",5.96562426378033e-09,-1.05659732000967,0.305,0.634,0.000150268109580363
"ANXA2",5.98098655350383e-09,2.77969677398759,0.234,0.078,0.000150655070296208
"EPN2",6.75033234908266e-09,1.80175012653412,0.453,0.28,0.000170034121541043
"PREX2",8.01070772178061e-09,-7.56799511172795,0,0.216,0.000201781716803932
"PIBF1",8.62366501882243e-09,-1.23901999060906,0.18,0.493,0.000217221498159118
"DAPK1",8.64334184389484e-09,-0.891925642042617,0.227,0.559,0.000217717137705867
"HECW2",9.2021892338717e-09,-7.77603842722837,0,0.214,0.000231793944611994
"MLLT10",9.28072434204761e-09,-1.22735792540066,0.156,0.471,0.000233772165451837
"SOBP",1.00734712798696e-08,-2.51601256418706,0.055,0.305,0.000253740668068636
"KCNQ3",1.11773207354489e-08,-1.30284204393526,0.117,0.407,0.000281545532005223
"AC068587.4",1.13745372896947e-08,-1.43274208844139,0.133,0.427,0.00028651321979012
