"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TSIX",4.73686363052418e-97,-7.74899680615784,0.015,0.745,1.19316857989274e-92
"XIST",1.14876846604132e-73,-7.14709806649246,0.015,0.618,2.89363288911149e-69
"UTY",9.43838285612113e-66,9.13565088072676,0.492,0.002,2.37743425762835e-61
"NEAT1",1.21479684263061e-49,1.20636411113399,0.966,0.889,3.05995176690225e-45
"USP9Y",5.4632869944571e-46,8.69058479215411,0.363,0.002,1.3761473610338e-41
"HSPA1A",7.65877957403385e-40,5.65189800081505,0.361,0.023,1.92916998690339e-35
"TTTY14",2.07104188448328e-34,10.1565898060771,0.276,0,5.21674740282492e-30
"LINC00486",2.12707542768692e-32,-9.60936568952853,0,0.305,5.35789029480058e-28
"HIST1H2AC",2.31670013427601e-30,6.16972704157974,0.289,0.021,5.83553596822784e-26
"IFI44L",2.06221487839309e-24,3.43830455311781,0.286,0.04,5.19451305718435e-20
"CLSTN2",4.22021494336238e-24,4.3021352214398,0.245,0.021,1.06302994208355e-19
"PLCG2",1.09573840281616e-22,3.65441340684782,0.245,0.025,2.76005546285362e-18
"AC100781.1",3.05465191420726e-22,-8.94736799181305,0,0.215,7.69436270669666e-18
"MT-ND6",1.01559061433125e-20,-1.90322676615584,0.224,0.503,2.55817119843898e-16
"PLCB1",1.45581207860661e-20,-4.50204711579647,0.005,0.213,3.66704504480219e-16
"MT-ND1",3.064396072412e-19,-1.7424260803958,0.224,0.514,7.71890726679859e-15
"AQP4-AS1",2.40693175035012e-18,-1.25943562522028,0.683,0.766,6.06282038595691e-14
"PCDH7",2.66552724500163e-17,-1.78072187848476,0.196,0.463,6.71419657743461e-13
"JPX",4.96862301324401e-16,-1.15038326287784,0.196,0.47,1.25154645080603e-11
"TSHZ2",7.93091842193265e-16,-1.72656849022509,0.144,0.395,1.99771904130062e-11
"FTX",9.25248587090678e-16,-0.876746035201054,0.564,0.768,2.33060866602271e-11
"AL023882.1",9.66541783603692e-16,-3.53353631523099,0.031,0.215,2.43462209871934e-11
"ZBTB16",1.2380777430324e-15,-1.06776267781381,0.469,0.724,3.1185940269243e-11
"LINC02389",1.65503673964759e-15,-2.50436325581515,0.098,0.315,4.16887204349832e-11
"LINC01578",1.36654370016218e-14,2.13949088380207,0.425,0.221,3.44218692633852e-10
"AADACL2",1.72371431474947e-14,-1.61837258631252,0.149,0.376,4.34186398742245e-10
"ADCY2",2.01994615412654e-14,-1.83943827150664,0.098,0.311,5.08804236762935e-10
"AL117381.1",2.02588930699915e-14,-1.71673966746864,0.111,0.336,5.10301257540016e-10
"ALOX12-AS1",2.18529115078999e-14,-1.61774988229192,0.139,0.363,5.50452987972489e-10
"AL008633.1",2.23285126095995e-14,-1.74720109367784,0.25,0.47,5.62432904123202e-10
"FTO",4.50987474667995e-14,1.44913162751148,0.67,0.557,1.13599234994121e-09
"CREBBP",4.86906189597613e-14,-1.77570806089046,0.106,0.317,1.22646800097743e-09
