"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HSP90AA1",1.12532667930168e-09,11.2767770026129,0.677,0,2.834585372493e-05
"TSIX",4.5635279637513e-08,-9.00220182282395,0,0.659,0.00114950705878932
"XIST",4.74856922792228e-07,-8.403706119057,0,0.585,0.0119611710282134
"UTY",8.72409535265977e-07,8.9542588573807,0.484,0,0.0219751237838147
"EIF4G3",3.78717446247094e-06,-4.50741387207339,0.032,0.561,0.0953951375351804
"IFI44L",4.36379665102413e-05,8.38325724844858,0.355,0,1
"GNG7",6.26324866549787e-05,1.94492079774127,0.742,0.463,1
"RALGPS2",6.42666146231139e-05,-1.68415600756117,0.419,0.829,1
"SIPA1L1",0.000184506596325319,2.04591164959629,0.742,0.512,1
"POU2F2",0.00018618700371723,-2.99083621301979,0.065,0.488,1
"CD55",0.000187654170855106,4.04196354067876,0.419,0.073,1
"APBB1IP",0.000230610191102467,-1.59768626746168,0.065,0.512,1
"FLI1",0.000256781583368345,-1.40797211267226,0.065,0.512,1
"B2M",0.000288195247484518,3.42790845521291,0.419,0.073,1
"NEAT1",0.000301331359248309,2.51547257953446,0.677,0.39,1
"SMCHD1",0.000341668177835897,1.83785698871917,0.774,0.659,1
"MT-CYB",0.000371448785464312,-3.42477151996516,0.032,0.415,1
"WDR70",0.000393174279327003,-3.22871804689391,0.032,0.415,1
"SARAF",0.000424794630128991,4.95820280176941,0.323,0.024,1
"MT-CO1",0.000440634074524344,-1.30595831999966,0.129,0.585,1
"AP001011.1",0.000443878369415028,2.46702962028736,0.71,0.439,1
"SP100",0.000477129351683604,-1.55676638701933,0.258,0.707,1
"AC079793.1",0.000477376354747647,-1.72709180099211,0.161,0.61,1
"AL592429.2",0.000542672965465411,-2.67975153078507,0.129,0.537,1
"TXNIP",0.000591404625147507,-2.39695968710026,0.097,0.488,1
"AC007381.1",0.000653631968653162,-7.15325233967854,0,0.317,1
"HSPA1A",0.000654743441380215,7.29384087002796,0.258,0,1
"KMT2C",0.000988618404173935,1.71669411178193,0.645,0.341,1
"ESYT2",0.00106721275996484,5.1380773745814,0.29,0.024,1
"HSPH1",0.00106721275996484,5.35962059892256,0.29,0.024,1
"C22orf34",0.00114494469625185,-4.76178879326363,0.032,0.341,1
"ERICH1",0.00115411599299472,-7.01060101207,0,0.293,1
"SNX25",0.00122177473022708,2.89602237278515,0.452,0.146,1
