"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HSP90AA1",6.75928971562184e-185,12.2144393365719,0.815,0.002,1.70259748646798e-180
"HIST1H2AC",6.03503780545344e-101,6.94199930378187,0.532,0.017,1.52016567281567e-96
"HSPA1A",1.89575197294431e-64,12.7342289982014,0.306,0,4.77520964464942e-60
"UTY",7.55132497907914e-63,7.14285310444211,0.315,0.003,1.90210324898024e-58
"B2M",3.58967559542297e-60,4.61507522232731,0.403,0.03,9.04203385731093e-56
"USP9Y",4.41532866877781e-60,8.48436555497043,0.296,0.002,1.11217713837844e-55
"CNOT6L",3.40107896736053e-56,2.66384355194574,0.801,0.409,8.56697781088444e-52
"PRKY",1.84528566651356e-55,12.4268281190637,0.264,0,4.648090065381e-51
"FYN",1.37449624166558e-54,1.92632855353239,0.912,0.664,3.46221858313144e-50
"ATP1B3",1.54028046000106e-53,4.56959290058461,0.412,0.049,3.87981245069667e-49
"SMCHD1",9.67699355073967e-46,1.8651760003941,0.87,0.589,2.43753790549582e-41
"SAMSN1",2.10648552089139e-45,2.8552377658763,0.648,0.249,5.30602637857333e-41
"PTPRC",8.55401474328341e-45,1.43155674329033,0.921,0.806,2.15467077368566e-40
"ZNF331",1.03189286510946e-43,4.38227637019055,0.356,0.045,2.59923493792422e-39
"SLC2A3",2.16589356788804e-43,3.31921047249877,0.481,0.109,5.45566930815319e-39
"HSPH1",1.78238921890311e-41,8.65291919565124,0.204,0.001,4.48966020349505e-37
"TSIX",1.11256748907672e-39,-11.3462261989513,0,0.517,2.80244624823534e-35
"USP36",8.80315328961864e-39,3.05105690870276,0.458,0.115,2.21742628212204e-34
"XIST",2.35205163425196e-38,-11.062981967186,0,0.505,5.92458286151726e-34
"PDE3B",1.12708002812868e-37,1.96549888533628,0.745,0.37,2.83900188285332e-33
"EML4",9.26833501210412e-36,1.68040088446035,0.81,0.621,2.33460090619891e-31
"NEAT1",5.12702487093735e-35,2.30368138344986,0.644,0.288,1.29144629474041e-30
"PDE4D",3.06861034455488e-34,3.50953217176856,0.338,0.058,7.7295225968993e-30
"VPS37B",1.33312366915721e-33,2.86863630641174,0.407,0.096,3.3580052102401e-29
"HLA-B",1.95728202267147e-33,4.58197896398327,0.236,0.019,4.93019768690718e-29
"CYTH1",5.28269589855218e-28,1.5139333333677,0.727,0.465,1.33065826988631e-23
"MALAT1",7.16431961523176e-28,0.487394045010843,1,1,1.80462046788073e-23
"CREM",1.47645023432214e-27,3.42591313541782,0.292,0.054,3.71903049523404e-23
"SYTL3",1.68687254473828e-27,1.75509804721543,0.722,0.502,4.24906325294125e-23
"FKBP5",2.33577682602778e-27,-1.42954780659473,0.384,0.79,5.88358824708138e-23
"IFI44L",7.84217454483947e-27,3.78678116647868,0.231,0.029,1.97536534609961e-22
"SLC38A1",8.99525133599498e-27,1.76946413726182,0.634,0.357,2.26581385902378e-22
"PIK3R1",9.61185234544395e-27,2.48832158297715,0.519,0.227,2.42112948729388e-22
"MT-ND3",2.12744608968669e-26,-2.9365292371631,0.051,0.46,5.3588239553118e-22
"RUNX2",5.30462826795e-26,-2.48364640159231,0.088,0.509,1.33618281441393e-21
"MT-CO2",5.84044340307323e-25,-3.42031041485227,0.019,0.4,1.47114928880012e-20
"CCND3",1.99467132521748e-22,-1.20246266149028,0.352,0.79,5.0243776010903e-18
"MT-CYB",9.40820997536521e-22,-3.40625368219429,0.028,0.37,2.36983401069474e-17
"TBL1X",1.21218205044739e-21,2.16118192277729,0.454,0.186,3.05336536687192e-17
"RESF1",2.17765681559812e-21,-1.9418975289009,0.144,0.534,5.48529975281011e-17
"SIK3",3.94517339392788e-21,1.52342952084424,0.699,0.526,9.93749726196494e-17
"IKZF1",4.2368264927495e-21,-1.17969579634151,0.468,0.822,1.06721422525867e-16
"NEDD9",6.92558425952277e-21,-4.19624113325038,0.023,0.349,1.74448541913119e-16
"SKAP1",7.49148602228323e-21,-1.0676414638806,0.421,0.822,1.88703041415292e-16
"MT-ND2",1.50941137700678e-20,-3.37076209635751,0.028,0.352,3.80205631754238e-16
"PPP1CB",1.88857573233654e-20,2.81106935870602,0.31,0.091,4.75713341218252e-16
"MCL1",4.24556605958499e-19,3.40161841333915,0.204,0.037,1.06941563474886e-14
"CYTH3",4.42066082630457e-19,2.97436035039865,0.231,0.05,1.11352025553786e-14
"TENT5C",8.56111417218197e-19,3.11944750519155,0.227,0.049,2.15645904883092e-14
"FNBP1",1.07673043467516e-18,1.4407734878523,0.708,0.598,2.71217629190327e-14
"AC079793.1",1.17354758670331e-18,-1.67418492939594,0.19,0.546,2.95604901614697e-14
"RAB8B",1.61763166833755e-18,1.85074632707089,0.454,0.217,4.07465240937545e-14
"HIP1",1.6699360066101e-18,-4.95487090653741,0.014,0.304,4.20640180705018e-14
"TRERF1",1.02009037773235e-17,-1.51884519160496,0.176,0.537,2.56950565247002e-13
"SARAF",1.1474940593542e-17,1.96738826368887,0.431,0.205,2.89042278610729e-13
"PPP1R16B",3.68515027307916e-17,1.57066867839136,0.56,0.362,9.28252502285911e-13
"ARHGAP15",3.8795006577381e-17,-0.772146174497945,0.537,0.854,9.7720742067765e-13
"BACH2",3.93228807157685e-17,1.86956864338797,0.491,0.272,9.90504042349493e-13
"CDC42SE2",4.10169555440672e-17,1.2326503289861,0.694,0.565,1.03317609319951e-12
"CLEC2B",9.1594318184258e-17,2.65939294345726,0.241,0.063,2.30716928074328e-12
"MT-ATP6",2.09707040567198e-16,-1.51793350331671,0.097,0.414,5.28231064484714e-12
"DOCK2",2.58989425717045e-16,-1.14594682756149,0.227,0.595,6.52368464438666e-12
"RASA3",1.06685608644637e-15,1.67253192207566,0.463,0.234,2.68730379614976e-11
"MT-ND1",1.57046448106717e-15,-1.94511811283957,0.074,0.361,3.95584298136008e-11
"QKI",1.69878864068934e-15,3.2374280622481,0.204,0.049,4.27907870703237e-11
"AP001011.1",1.72514396574647e-15,1.40614846576433,0.602,0.431,4.34546513531877e-11
"AC111170.1",2.95869767583284e-15,-4.64496716604959,0.009,0.255,7.45266357565533e-11
"TXNIP",3.31158456209988e-15,-2.02615368416902,0.097,0.389,8.34155035347339e-11
"ARID5B",5.16907053473251e-15,1.54764317527666,0.505,0.291,1.30203717699377e-10
"PABPC1",1.63561074892253e-14,2.07419536994485,0.37,0.174,4.11993991546095e-10
