"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HSP90AA1",2.78874187358533e-113,10.1910454049394,0.716,0.005,7.02456190537409e-109
"TSIX",2.45544855561374e-59,-11.7606716045611,0,0.722,6.18502936673544e-55
"HSPA1A",9.57136640229076e-57,12.2073857597458,0.377,0,2.41093148307302e-52
"XIST",5.66163773564937e-53,-11.4113914385945,0,0.671,1.42610992923272e-48
"SLC2A3",2.57050131374305e-49,4.69582022807014,0.456,0.043,6.47483575918736e-45
"ZBTB16",5.36856826353913e-49,-1.71191564659266,0.603,0.944,1.35228865990287e-44
"NAMPT",1.84549769392787e-46,5.11989463747108,0.422,0.038,4.6486241412349e-42
"UBC",7.0738518030856e-46,6.67446886212605,0.333,0.007,1.78183253067923e-41
"PTMA",8.621342139646e-46,6.23658454374633,0.353,0.013,2.17162987155543e-41
"ACTB",4.63111134937846e-44,8.30820322969246,0.309,0.003,1.16653063779494e-39
"NR4A1",2.24883217338514e-42,2.81642548540823,0.52,0.087,5.66458336153983e-38
"B2M",1.84610868941101e-40,4.02372263994324,0.387,0.036,4.65016317775739e-36
"HSP90AB1",1.78142891588602e-38,11.3845239245252,0.26,0,4.48724129622529e-34
"RALGAPA2",4.68205352963709e-38,2.02335859739965,0.853,0.583,1.17936246358029e-33
"MSN",3.10212126743807e-36,2.52693118728616,0.676,0.28,7.81393326054975e-32
"PRKY",1.57009175500475e-35,11.2833923398337,0.24,0,3.95490412168146e-31
"HSPB1",1.85351811261022e-33,6.53404776460264,0.24,0.003,4.66882677385389e-29
"PICALM",2.84748720187329e-33,2.52588942106837,0.681,0.343,7.17253551279863e-29
"C22orf34",4.39876889175173e-33,-3.66481951664139,0.064,0.565,1.10800589614334e-28
"HLA-A",3.8673072615691e-32,8.00845214035371,0.23,0.003,9.7413602611664e-28
"SERPINE1",5.06059406371256e-32,3.01841507299888,0.539,0.165,1.27471303870856e-27
"IQCJ-SCHIP1",1.42114111978972e-31,7.62498462525039,0.221,0.002,3.57971236663833e-27
"NDRG1",7.68586286832125e-31,4.70068497383942,0.368,0.063,1.93599199790144e-26
"TPM4",2.58162989416017e-29,3.28711644138916,0.412,0.091,6.50286754040006e-25
"HIF1A",2.66859645656552e-29,3.42381155097517,0.426,0.1,6.72192761444289e-25
"NEAT1",7.89993366353428e-29,1.52426364256353,0.917,0.756,1.98991429050765e-24
"MEIS1",2.94504882988316e-28,-2.30153855851534,0.137,0.619,7.4182834975927e-24
"AKAP12",5.18438388951555e-28,3.88881813452254,0.436,0.117,1.30589445793007e-23
"ATP1B3",8.97678161222037e-28,5.82979835670818,0.235,0.013,2.26116152030219e-23
"VIPR1-AS1",1.80218125443056e-27,-4.1453936585128,0.034,0.468,4.53951436178513e-23
"RAPGEF5",3.51200857504251e-26,1.570928469259,0.779,0.517,8.84639839967457e-22
"JMJD1C",4.71409278903684e-26,1.41180470375991,0.828,0.582,1.18743283263049e-21
"HLA-B",6.6534038366601e-26,4.38236396991176,0.221,0.012,1.67592589241631e-21
"SMAD6",9.89963408424258e-26,-2.48820409341724,0.191,0.605,2.49361882947986e-21
"TCF4",1.96387925446698e-25,1.13028956020516,0.897,0.74,4.94681545407688e-21
"SLC6A4",3.31434028970256e-25,-6.09411177380984,0.015,0.409,8.34849175573179e-21
"LINC00472",5.11112062672599e-25,-1.90369006175704,0.27,0.679,1.28744017466601e-20
"HIVEP2",2.40424707332377e-24,2.45947334009141,0.51,0.191,6.05605795299524e-20
"SYNE1",5.51464038866026e-24,-1.53495266204731,0.314,0.725,1.38908276749963e-19
"YBX3",1.01305234533775e-23,2.69161377137295,0.417,0.119,2.55177755267125e-19
"MEF2A",2.42659419527327e-23,1.70984326699944,0.696,0.458,6.11234811847384e-19
"SLCO2A1",3.15111375432321e-23,-1.29586611287545,0.324,0.741,7.93734043576473e-19
"ADAMTS9",6.49195294466488e-23,3.91874472488258,0.319,0.064,1.63525802723164e-18
"ACTN1",1.03572653148978e-22,4.14870027323552,0.225,0.021,2.60889156016962e-18
"CCSER1",3.45968796448616e-22,3.08129710107297,0.294,0.051,8.71460801374419e-18
"LIFR",9.36593852175368e-22,-2.29521946647351,0.275,0.61,2.35918625424453e-17
"BTNL9",1.04892768133978e-21,-1.79838538323088,0.255,0.647,2.64214393652676e-17
"HECW2",3.89021239683556e-21,-1.72904939357056,0.25,0.631,9.7990560063891e-17
"RASAL2",1.2618774026521e-20,-1.48990609671504,0.333,0.689,3.17854298954038e-16
"LHFPL6",1.27524075919836e-20,-1.91878979674023,0.181,0.582,3.21220394834474e-16
"PAPSS2",1.5341392141912e-20,-1.96781113926538,0.152,0.537,3.86434326662622e-16
"SH3D19",2.24909690356123e-20,-1.7514430526605,0.23,0.619,5.66525019038038e-16
"VIPR1",9.31415528332385e-20,-1.99114153122987,0.123,0.516,2.34614257431645e-15
"CD9",1.39774698594243e-19,3.44845415068616,0.235,0.035,3.52078488289038e-15
"ARID5A",1.75270085074618e-19,3.8452663161961,0.225,0.031,4.41487817294455e-15
"RASGRF2",2.54364825181507e-19,4.20243799941409,0.23,0.035,6.40719558149698e-15
"CCDC85A",5.08637935469136e-19,-2.48979738334246,0.083,0.438,1.28120809565321e-14
"PLS3",6.64079974132843e-19,2.82082365627025,0.324,0.086,1.67275104684322e-14
"SCGB1A1",7.3126485466348e-19,-9.81686996844664,0,0.305,1.84198304241184e-14
"SSH1",1.35307357811015e-18,2.8070167179278,0.377,0.127,3.40825703590166e-14
"PELI1",1.51278654090817e-18,2.93504528795134,0.299,0.072,3.81055801789359e-14
"CLEC2B",1.62628788763383e-18,3.95216921449436,0.225,0.035,4.09645656016086e-14
"ST5",2.3854627777025e-18,-2.88618265957566,0.083,0.418,6.00874219075482e-14
"PIP5K1C",3.19715713459585e-18,3.05260900571971,0.235,0.038,8.0533191063335e-14
"SFMBT2",4.18254739546679e-18,3.86054716696686,0.211,0.03,1.05354186344413e-13
"INTS6",5.54000814052457e-18,2.96433026881541,0.284,0.064,1.39547265051673e-13
"KIAA1217",8.11718148074307e-18,-1.42261589945453,0.5,0.778,2.04463684318437e-13
"FKBP5",9.11648010130716e-18,-1.09751417655747,0.505,0.783,2.29635017271826e-13
"SPAG9",1.10287299624178e-17,2.31901917911924,0.436,0.178,2.77802679023343e-13
"STAT3",2.68391592002903e-17,2.08843157386899,0.48,0.232,6.76051581096112e-13
"ELOVL5",2.83984067935789e-17,3.37648391353046,0.255,0.053,7.15327468723459e-13
"PTPRB",3.14293481673063e-17,-1.83077361759003,0.319,0.586,7.91673850986278e-13
"CLIC4",4.73923650461929e-17,2.30432095298515,0.456,0.204,1.19376628314855e-12
"FOXN3",4.77032990135077e-17,-1.70774050500506,0.216,0.565,1.20159839885125e-12
"ARRB1",7.47267675516153e-17,-2.09956492481605,0.108,0.446,1.88229254785764e-12
"HIF1A-AS3",9.61286449170169e-17,2.82737826398994,0.324,0.097,2.42138443681474e-12
"HIF3A",1.10498786053705e-16,-1.63930751128977,0.206,0.549,2.78335392190678e-12
"EML1",1.20128035290576e-16,-2.11575268863419,0.054,0.377,3.02590508093433e-12
"PREX1",1.81470124360589e-16,-1.63670036846689,0.181,0.522,4.57105096251888e-12
"PDLIM1",1.87052679229871e-16,1.8360166502615,0.485,0.232,4.71166993712122e-12
"COL4A1",3.14469590045405e-16,2.71761446461359,0.475,0.247,7.92117450365371e-12
"KLF6",3.65197608324544e-16,3.09916280048944,0.24,0.051,9.19896255608693e-12
"ARHGEF12",4.60962344568412e-16,1.5448890211011,0.603,0.379,1.16111804973337e-11
"WWTR1",5.95169449185748e-16,1.68594918323321,0.623,0.377,1.49917232555398e-11
"SLCO3A1",6.59360742431607e-16,-1.82640409528945,0.167,0.499,1.66086377411097e-11
"NXN",1.02525457335816e-15,1.94867888634938,0.485,0.234,2.58251374483188e-11
"UNC13B",1.06361560016934e-15,-1.83969285790602,0.137,0.468,2.67914133526655e-11
"GFOD1",1.14548103717736e-15,-2.1119095702962,0.088,0.404,2.88535218454604e-11
"LDLR",1.31279562120833e-15,3.57695143267152,0.206,0.036,3.30680089026166e-11
"RBMS1",2.69254094864063e-15,-1.42484496259904,0.221,0.554,6.7822413955309e-11
"RNF115",3.63227974789039e-15,-2.14971075715005,0.103,0.405,9.14934945696109e-11
"SHB",5.32960893527699e-15,3.50377935180021,0.201,0.036,1.34247519470692e-10
"FGD4",5.80606796227606e-15,-2.10624172210806,0.103,0.405,1.46249045901772e-10
"MYO1E",6.6814370074879e-15,2.34736129740584,0.373,0.145,1.68298716781613e-10
"MTHFD1L",6.97078889995197e-15,2.61946850406748,0.275,0.076,1.7558720160089e-10
"ARHGAP18",7.31305580964529e-15,-2.14822876788917,0.127,0.428,1.84208562789155e-10
"FOXO3",1.22137884196582e-14,-1.91650645625274,0.152,0.463,3.07653116502771e-10
"CNOT6L",1.73109780378814e-14,2.82430009467633,0.279,0.082,4.36046225796194e-10
"CCNL1",2.82622364463283e-14,2.23794262706904,0.358,0.137,7.11897473846564e-10
"RIN2",3.52011360713107e-14,-1.13829103324191,0.294,0.633,8.86681416500246e-10
"TUSC3",3.87029982094743e-14,1.95068052538971,0.441,0.211,9.74889821898448e-10
"BCAR3",4.29964224592615e-14,-2.47108487905582,0.049,0.323,1.08303688532634e-09
"FLT1",5.10253772317989e-14,1.96323314645427,0.583,0.402,1.28527822709178e-09
"PCED1B",5.89038034812358e-14,-2.02870953677648,0.108,0.402,1.48372790588885e-09
"SDCBP2-AS1",9.3918572936724e-14,2.2144746562287,0.338,0.129,2.36571493370314e-09
"RTN4",9.53750857308212e-14,1.62143580884484,0.5,0.272,2.40240303447365e-09
"MCTP1",1.00589218820995e-13,2.92406076978804,0.392,0.181,2.53374183288205e-09
"RPS6KA3",1.08336179375352e-13,2.5961556331332,0.279,0.089,2.72888002228575e-09
"ZFP36",1.24343079441332e-13,2.76624132259902,0.23,0.056,3.13207782804772e-09
"ANKS1A",1.34491234116548e-13,-1.5806672299798,0.235,0.537,3.38769969616172e-09
"CLEC1A",1.88372314305112e-13,2.27409556146137,0.353,0.142,4.74491022503147e-09
"CYTH1",2.1590183180979e-13,1.97631938209164,0.353,0.142,5.43835124145681e-09
"ERO1A",2.55544016354345e-13,2.65796952643414,0.23,0.058,6.43689822794959e-09
