"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TTTY14",6.56661537084486e-54,11.5365263668742,0.276,0,1.65406474576211e-49
"USP9Y",2.93365572062691e-58,11.490434520595,0.297,0,7.38958539468712e-54
"HSPA1A",2.08674945894705e-80,9.80780879474519,0.4,0.001,5.25631321214171e-76
"SLC2A3",4.52430996296409e-48,9.56428184006622,0.252,0.001,1.13962843657102e-43
"BHLHE40",6.53519727389334e-52,9.22604690843711,0.27,0.001,1.64615084132099e-47
"NR4A3",2.61946610360781e-52,8.96081835104092,0.272,0.001,6.59817316837772e-48
"UTY",8.16850414023286e-54,8.16435890924392,0.282,0.003,2.05756450788325e-49
"HSP90AA1",2.5073878795647e-61,7.77699059603993,0.322,0.004,6.31585932983552e-57
"NR4A1",2.42549703322865e-113,6.43703205872474,0.565,0.017,6.10958447699964e-109
"UBC",1.17598110966113e-46,6.34955939397574,0.256,0.005,2.96217881712542e-42
