"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TSIX",5.05679612398181e-96,-12.6408525135205,0,0.793,1.27375637566978e-91
"XIST",4.0255613395865e-79,-11.894776111417,0,0.691,1.01399864582844e-74
"FKBP5",4.6988191099165e-70,-3.08776027441166,0.364,0.864,1.18358554559687e-65
"ATP1B3",5.73546081546971e-67,4.6382007937945,0.749,0.173,1.44470522480866e-62
"CPM",3.35713055975063e-64,-4.03730994847434,0.165,0.743,8.45627616695587e-60
"SLC1A3",2.45237848121825e-51,-3.72534684354827,0.075,0.607,6.17729615634064e-47
"TBXAS1",5.50769715346663e-49,-2.15121324681174,0.439,0.825,1.38733383598671e-44
"NAMPT",1.64712342521966e-45,3.54959097372806,0.645,0.183,4.14893919578579e-41
"UTY",1.13691587297517e-44,10.4709061282642,0.402,0,2.86377739243716e-40
"CD163",2.0347187535595e-44,-2.5756311886811,0.289,0.743,5.12525306834103e-40
"SLC2A3",4.41898974200711e-44,4.48101324154492,0.488,0.052,1.11309932611417e-39
"LINC00278",7.77056345059974e-43,10.5114988507585,0.387,0,1.95732722757157e-38
"ZBTB16",2.16770421547638e-42,-4.06379447048944,0.061,0.519,5.46023014836344e-38
"PDK4",2.12235770652852e-41,-4.5974767469654,0.052,0.496,5.34600682697468e-37
"INHBA",2.66393240583961e-40,2.91634159709604,0.598,0.175,6.71017933706938e-36
"USP9Y",1.35878762252939e-39,10.2985259839558,0.361,0,3.42265014238927e-35
"TTTY14",1.57486213836776e-38,10.8229952609382,0.353,0,3.96692024033456e-34
"DPYD",3.9345019356692e-38,-1.44854027523823,0.662,0.864,9.91061692575716e-34
"AOAH",2.61835462472564e-37,-2.69717417683419,0.136,0.588,6.5953734642214e-33
"FMN1",1.35092849523347e-36,-2.21201311319901,0.228,0.672,3.4028537866436e-32
"JUND",4.82723064306483e-36,6.45757444146257,0.353,0.01,1.2159311266816e-31
"C22orf34",5.05643592819019e-36,-3.27251315154419,0.081,0.499,1.27366564595183e-31
"SLC16A10",2.1019280276334e-35,2.93880124200033,0.535,0.131,5.29454650880577e-31
"SLCO2B1",3.74217789071601e-35,-2.20571967255372,0.364,0.736,9.42617188892456e-31
"HSP90AA1",1.42467151012152e-34,4.83203365764278,0.382,0.03,3.5886050668451e-30
"FRMD4B",1.99417725683215e-34,-2.30303321021774,0.257,0.669,5.02313309223451e-30
"UBASH3B",7.71734094958926e-34,2.39709663548854,0.63,0.237,1.94392101179204e-29
"TFRC",1.58288246403127e-33,2.6660160206725,0.746,0.402,3.98712263864837e-29
"MS4A6A",1.25715131538586e-32,-3.08428909455123,0.087,0.481,3.16663844832545e-28
"CSGALNACT1",3.93674750971809e-31,-3.58292625680411,0.061,0.432,9.91627330222891e-27
"CELF2",1.44905697837513e-30,-1.51729656123513,0.517,0.81,3.65002962282911e-26
"PDGFC",4.37552480374072e-30,-1.89924927770458,0.445,0.753,1.10215094281425e-25
"HSPA1A",1.51976943426868e-29,8.03511477562483,0.292,0.007,3.82814722797939e-25
"FAM13A",2.34731505694119e-29,-10.2686811955827,0,0.309,5.91265189692917e-25
"CTNNB1",9.8822172966546e-29,1.96365398228486,0.668,0.333,2.48923171485433e-24
"NHSL1",1.76155341802947e-28,-3.19252275012857,0.153,0.506,4.43717690467444e-24
"EPB41L3",6.03469327681796e-28,1.80753430129052,0.743,0.447,1.52007888949768e-23
"EZR",1.65703565012649e-27,3.52453055253378,0.41,0.091,4.17390709910361e-23
"MERTK",1.48628484230872e-25,-2.43317457354333,0.098,0.447,3.74380288929144e-21
"FYB1",1.6115477260081e-25,-2.30275527228716,0.113,0.467,4.05932756704182e-21
"AC008957.2",1.6411210385938e-25,-4.85915202295752,0.009,0.291,4.13381978411391e-21
"PLAUR",3.585307307644e-25,2.57086569939674,0.46,0.133,9.03103057722447e-21
"SMAP2",5.35383147650827e-25,-1.46799309427886,0.286,0.657,1.34857661061767e-20
"ATP10A",7.25834757711388e-25,1.88059427779059,0.569,0.249,1.82830517119921e-20
"MT-ND4",9.86268162046421e-25,2.07574395078074,0.555,0.232,2.48431087337873e-20
"NEAT1",1.25605674735767e-24,0.730263730727978,0.98,0.965,3.16388134091924e-20
"RHOB",5.83186089638654e-24,3.44533271238297,0.309,0.04,1.4689874411908e-19
"CCND3",8.33856594965311e-24,-3.82205012949965,0.064,0.363,2.10040137705812e-19
"CD83",1.30354135943617e-23,2.4903352130465,0.48,0.168,3.28349033028378e-19
"CD55",1.32178813704784e-23,3.96452474537362,0.315,0.047,3.3294521384098e-19
"ST6GAL1",1.52184741537027e-23,-4.39360091833945,0.035,0.316,3.83338145457618e-19
"CDK6",1.53565565909572e-23,-9.49211111732968,0,0.252,3.86816303969621e-19
"CEBPB",1.76625693430055e-23,2.81897559200051,0.422,0.123,4.44902459180965e-19
"B2M",1.92146180829309e-23,1.18327869760106,0.428,0.109,4.83997014890946e-19
"ZNF331",4.27936483127949e-23,3.74905281659976,0.405,0.114,1.07792920735099e-18
"ATP2B1",5.8408241223306e-23,1.73842801013777,0.668,0.395,1.47124518817386e-18
"SRGAP1",6.14248821058773e-23,-1.87299045106246,0.156,0.511,1.54723135536494e-18
"CARMIL1",6.58675074796747e-23,-2.17952489946715,0.136,0.469,1.65913664590552e-18
