"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TTTY14",1.57486213836776e-38,10.8229952609382,0.353,0,3.96692024033456e-34
"LINC00278",7.77056345059974e-43,10.5114988507585,0.387,0,1.95732722757157e-38
"UTY",1.13691587297517e-44,10.4709061282642,0.402,0,2.86377739243716e-40
"USP9Y",1.35878762252939e-39,10.2985259839558,0.361,0,3.42265014238927e-35
"HSPA1A",1.51976943426868e-29,8.03511477562483,0.292,0.007,3.82814722797939e-25
"JUND",4.82723064306483e-36,6.45757444146257,0.353,0.01,1.2159311266816e-31
"EPAS1",5.27113920958667e-22,5.18142186454921,0.257,0.022,1.32774725550279e-17
"HSP90AA1",1.42467151012152e-34,4.83203365764278,0.382,0.03,3.5886050668451e-30
"ATP1B3",5.73546081546971e-67,4.6382007937945,0.749,0.173,1.44470522480866e-62
"JUNB",2.00842435941838e-21,4.50500632505736,0.277,0.037,5.05902011893895e-17
