"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ATP1B3",3.13818596636563e-25,7.31902461313408,0.944,0.06,7.90477663067839e-21
"NAMPT",5.9633392314354e-19,11.408964343635,0.5,0,1.50210551900626e-14
"ZNF331",4.62715797805641e-18,5.57825020117205,0.722,0.046,1.16553482309263e-13
"B4GALT5",1.62240844499074e-15,3.76407411479141,1,0.272,4.08668463208717e-11
"RANBP2",5.1363091138044e-15,5.48656414018317,0.778,0.106,1.29378490267619e-10
"B2M",6.49201963161765e-15,10.2636068261207,0.389,0,1.63527482500817e-10
"ITPKB",1.84861538139724e-13,4.77316912851047,0.611,0.053,4.6564772842015e-09
"TJP2",5.10328454076036e-13,6.27740644002437,0.389,0.007,1.28546634297213e-08
"EZR",6.33286624463878e-13,10.6824459174649,0.333,0,1.59518567836206e-08
"SLC7A5",6.33286624463878e-13,10.5369784560044,0.333,0,1.59518567836206e-08
"TPM4",4.72632837202926e-12,4.99379710632821,0.5,0.033,1.19051485363045e-07
"YES1",1.83416491827355e-11,5.28002825889339,0.389,0.013,4.62007801263923e-07
"OSBPL6",5.93634458679322e-11,9.86453830902122,0.278,0,1.49530583796734e-06
"VEGFA",5.93634458679322e-11,10.5391295691728,0.278,0,1.49530583796734e-06
"HSP90AA1",5.93634458679322e-11,10.2620898624115,0.278,0,1.49530583796734e-06
"PAG1",1.00282869108553e-10,3.93103681094343,0.889,0.364,2.52602518997534e-06
"TSIX",2.62202507487953e-09,-8.76165183246265,0,0.854,6.60461896111405e-05
"JARID2",4.06635585409838e-09,3.22767040217943,0.889,0.437,0.000102427437608884
"IFI44L",5.38102232540105e-09,10.1330864230812,0.222,0,0.000135542571354527
"GALC",8.22275421673519e-09,3.05075148610313,0.833,0.377,0.000207122955965343
"NR4A2",1.26629290726741e-08,5.76850276715358,0.333,0.02,0.000318966520411588
"CYTH3",1.86849833829314e-08,4.06464800781048,0.556,0.099,0.000470656046432659
"EPAS1",2.00034537308859e-08,4.2799399911051,0.333,0.02,0.000503866996027286
"CD83",5.07420618921946e-08,5.19106475485372,0.389,0.04,0.00127814179700249
"MSI2",5.62130508079816e-08,2.95958462717227,0.833,0.364,0.00141595053680225
"PHTF1",7.73785635384685e-08,5.82929721630493,0.278,0.013,0.00194908863697048
"BIRC3",7.73785635384685e-08,6.89789292363371,0.278,0.013,0.00194908863697048
"FOSB",3.17085821767124e-07,6.04985771514767,0.222,0.007,0.00798707476449209
"DENND3",3.808778249632e-07,5.30772192398772,0.222,0.007,0.00959393153299804
"MS4A2",3.9456792326493e-07,-7.91387347393624,0,0.715,0.00993877141912033
"A2M",3.9456792326493e-07,-7.90562306554633,0,0.715,0.00993877141912033
"RAD51B",7.43773485663273e-07,-8.05886098234615,0,0.695,0.0187349103303722
"SRGN",8.51018355902622e-07,3.23621189747318,0.611,0.172,0.0214363013668312
"XIST",9.14832364692716e-07,-7.9310542940243,0,0.689,0.0230437124342448
"ATP8B4",1.47752039326372e-06,3.11722859482713,0.611,0.179,0.03721726118592
"RAB27B",3.03189785457395e-06,-8.01092519417865,0,0.649,0.0763704750588634
"CAMK2G",3.77285741389226e-06,3.75490827114271,0.444,0.093,0.0950345053985322
"RAC1",5.66773889007302e-06,4.3774922277332,0.222,0.013,0.142764674902049
"CD44",6.68735672575776e-06,-3.70272736680022,0.056,0.695,0.168447828565112
"EIF2AK3",8.13769874270052e-06,3.82649503820304,0.333,0.046,0.204980493629883
"BMP2K",1.00450759096429e-05,1.1592575754165,0.944,0.834,0.253025417087995
"PLCL1",1.05837667430437e-05,-3.93418044078635,0.056,0.669,0.266594500490527
"DIP2C",2.12450391009812e-05,1.65563594661843,0.833,0.675,0.535141289914616
"PLXDC2",2.26489418627291e-05,-7.41261602815409,0,0.576,0.570504196580283
"ELOVL5",2.63936110724224e-05,2.73900863813441,0.556,0.199,0.664828669303248
"PZP",3.16558881770769e-05,-3.33790986654881,0.056,0.649,0.797380167292391
"LINC01578",3.3738540555474e-05,3.01818592862637,0.444,0.113,0.849840098051836
"GLUL",3.46454645447262e-05,5.83901444276524,0.222,0.02,0.872684606417109
"NFKBID",4.19844327503875e-05,4.7585977523509,0.222,0.02,1
"NSD3",5.61830182527356e-05,2.95605578786272,0.5,0.159,1
"GPAT4",7.22493336123873e-05,3.35871280513745,0.278,0.04,1
"AKNA",7.66465271907635e-05,2.73763698101065,0.5,0.159,1
"ABCC4",7.92552566230565e-05,2.74602456813264,0.722,0.47,1
"FARP2",8.40467814774775e-05,2.45836053890323,0.5,0.159,1
"REL",8.92928857656066e-05,3.89714984792574,0.333,0.066,1
"VPS37B",9.81752955228371e-05,2.72911858113229,0.556,0.232,1
"MITF",9.93136555957037e-05,-3.84255083515733,0.056,0.576,1
"STAU1",0.00011441977561466,3.13479877616207,0.333,0.066,1
"HPGDS",0.000116415876031019,-7.26868312459994,0,0.51,1
"TBL1X",0.000134126719402697,3.12659218500195,0.5,0.179,1
"ADAM12",0.000144399742897938,1.58617922705248,0.833,0.662,1
"ADAM9",0.000151961836862158,4.53270242993565,0.222,0.026,1
"GSE1",0.000167376678872751,-1.69945942463087,0.333,0.821,1
"CREM",0.000177996395142071,3.71685908021722,0.278,0.046,1
"CNST",0.00018414366364195,-6.97195947407639,0,0.49,1
"FKBP5",0.000186592777641645,-2.63314396575238,0.111,0.636,1
"NAALADL2",0.000205734655531376,-4.49883208219454,0.056,0.53,1
"MLPH",0.000213876238076058,-6.82831269720392,0,0.483,1
"TRERF1",0.000213876238076058,-6.95423550664846,0,0.483,1
"AGAP1",0.000214393397699868,-1.50643001119759,0.278,0.841,1
"GNA13",0.000224768816779765,2.8569925200224,0.389,0.106,1
"GALNT3",0.000228070109142882,3.07091182779097,0.333,0.073,1
"AC079793.1",0.000229930419012193,-3.4129340020551,0.056,0.556,1
"SYTL3",0.000230034094445218,1.38066226726269,0.944,0.742,1
"MAOB",0.000248026751778165,-7.03685629897052,0,0.477,1
"GAB2",0.000252723085715061,3.04271668313197,0.389,0.106,1
"MALAT1",0.000293684193437942,0.328898648368536,1,1,1
"AC002070.1",0.00029645055917073,-3.78376041912547,0.056,0.53,1
"C1orf21",0.000304682518488236,2.72984924995752,0.444,0.139,1
"VWA5A",0.000332020240141254,-6.84097915950747,0,0.464,1
"GMDS-DT",0.000332023795428546,-6.97127620311651,0,0.464,1
"RGS13",0.000352695268565792,-2.32682278383743,0.111,0.629,1
"PRKCB",0.00036967109908392,-2.61571311798851,0.111,0.589,1
"AL390957.1",0.000384375526361795,-1.70704824865908,0.222,0.748,1
"AC092979.1",0.000393078373794688,-1.614195973089,0.222,0.762,1
"ZMYM2",0.000412828383364222,2.37869904404494,0.556,0.278,1
"CMTM6",0.000434016243966088,3.12465336578413,0.278,0.053,1
"C22orf34",0.000441807362838059,-7.09282592867729,0,0.45,1
"LUC7L3",0.00044976026759951,-1.55094805200247,0.056,0.563,1
"FTX",0.000471816698067686,-1.22628426665135,0.444,0.881,1
"DOCK5",0.000508513100709217,-6.71381132132173,0,0.444,1
"PDE8A",0.000514539043323828,3.0271745625027,0.556,0.272,1
"DLC1",0.000584470383215041,-6.9755820521872,0,0.437,1
"ESYT2",0.000591538367448175,2.80990080078012,0.444,0.166,1
"MAML3",0.000594930323537268,1.18234899836914,0.778,0.755,1
"FOSL2",0.000596026754059568,3.24125482404936,0.333,0.086,1
"AMD1",0.000615232532103749,3.00205792172768,0.222,0.033,1
"IQGAP2",0.000624289872827651,2.32820436964164,0.667,0.444,1
"AC004917.1",0.000661992732962802,-2.09756090006686,0.167,0.649,1
"MBP",0.000670803079562982,-6.73942559758422,0,0.43,1
"SAMSN1",0.000692440379170282,1.70694364058968,0.778,0.689,1
"CCSER1",0.000733171932565514,-1.56751415381037,0.111,0.629,1
"HPGD",0.000761258171253164,-4.27492855044048,0.056,0.477,1
"PDE3A",0.00100567722560341,-7.0205499655171,0,0.411,1
"AL163541.1",0.00100568701397529,-8.27116123167157,0,0.411,1
"ALG13",0.00101978253966801,3.12310879774128,0.444,0.179,1
"PPP1CB",0.00102309146960652,3.24544789815068,0.333,0.093,1
"SIK3",0.0011880422794596,2.17392741773404,0.611,0.338,1
"LIMK2",0.00126769726628011,3.62897804609933,0.278,0.066,1
"MBD5",0.00130844575177421,-6.65916235970995,0,0.397,1
"RAB38",0.00145208366527444,3.34555612326318,0.222,0.04,1
"STX3",0.00145783442491599,-2.22816970486753,0.111,0.543,1
"PALLD",0.00148950174938628,-6.73112837814976,0,0.391,1
"FLI1",0.00148950174938628,-6.58560012083705,0,0.391,1
"XAF1",0.00151585604088027,3.32456358409642,0.222,0.04,1
"TESC",0.00151632925722388,3.40844508519444,0.278,0.066,1
"DENND4A",0.00163819258840763,1.94573704805541,0.611,0.364,1
"ADGRE2",0.00169338095555753,-6.3934075622893,0,0.384,1
"ST8SIA1",0.0016979529739361,-2.57143824412287,0.056,0.483,1
"FYN",0.00179250985093356,3.01531459994799,0.5,0.258,1
"CERT1",0.00192277645131066,-6.45416982990636,0,0.377,1
"ELL2",0.00200022327716913,1.89202301880429,0.611,0.411,1
"GRAMD4",0.00209680761585219,2.15805118181786,0.389,0.132,1
"RAP1GAP2",0.00218045477176494,-6.41536699892133,0,0.371,1
"CALB2",0.00218791944559062,2.66521952057032,0.333,0.106,1
"PPP3CA",0.0023628123600408,-1.43824212986633,0.111,0.563,1
"JAK1",0.00246959380490922,-6.38487563787328,0,0.364,1
"HPSE2",0.00246959380490922,-6.81288354358425,0,0.364,1
"BIRC2",0.00261815328058534,3.34573994165046,0.222,0.046,1
"AHR",0.00264078825955322,2.90370773732191,0.444,0.205,1
"CPA3",0.00271808355044178,-1.26301972970842,0.333,0.762,1
"ZNF521",0.00279365044539359,-6.26190210448937,0,0.358,1
"MFSD4B",0.00291798571618556,-2.11741887705924,0.056,0.464,1
"TESPA1",0.00315636357927446,-6.35863761229266,0,0.351,1
"TENT5A",0.00315641902024183,-6.67227872857721,0,0.351,1
"CHKA",0.00315641902024183,-6.16561022707238,0,0.351,1
"BACH1",0.00332396613078692,-2.30027065711477,0.056,0.45,1
"EPB41L1",0.00338581313255168,-2.3878756091097,0.056,0.45,1
"AREG",0.00343446479802758,2.87542356835655,0.222,0.046,1
"ARHGAP15",0.00349752916525636,-1.18887286288565,0.389,0.815,1
"P2RY14",0.00356206034470724,-6.44819594582925,0,0.344,1
"DACH1",0.00356206034470724,-6.26161333890773,0,0.344,1
"ZNRF1",0.00356206034470724,-6.46229045579442,0,0.344,1
"ZBTB1",0.00361995297324816,3.31854419070071,0.278,0.079,1
"BMPR2",0.00373463990890066,2.7506817097285,0.278,0.079,1
"WIPF2",0.00373463990890066,2.95161145802042,0.278,0.079,1
"PNISR",0.00395543094192476,-2.03577329486657,0.056,0.444,1
"CACNA1H",0.00401509855151277,-6.29398964720315,0,0.338,1
"KCNIP1",0.00452058891841718,-6.60174176223061,0,0.331,1
"KANSL1L",0.00452062733446693,-6.32133321450698,0,0.331,1
"ADK",0.00452062733446693,-6.08121981965491,0,0.331,1
"PHTF2",0.0045722402957265,-1.26300957341284,0.056,0.444,1
"AL356124.1",0.00494484136207249,-2.51773779049552,0.056,0.424,1
"MAT2A",0.00495665221593599,3.21188186434011,0.222,0.053,1
"MLLT3",0.00497240979751405,2.98219425163246,0.389,0.159,1
"TNS1",0.00508400144092537,-6.24520149176414,0,0.325,1
"AL139231.1",0.00508400144092537,-6.58348502751858,0,0.325,1
"CREB3L2",0.00508400144092537,-6.10572892452855,0,0.325,1
"MT-ND3",0.00508400144092537,-7.15826093923601,0,0.325,1
"AC068587.4",0.00531782605239411,2.10186522491326,0.556,0.411,1
"TANC1",0.00548958080443867,3.63276401486498,0.333,0.126,1
"HOOK3",0.00577478285345621,2.96459105124511,0.333,0.126,1
"PRAG1",0.00640880113168539,-6.13367146695252,0,0.311,1
"GLOD5",0.00640880113168539,-6.40951965993825,0,0.311,1
"EIF4G3",0.00646295470631347,-1.02432951407052,0.056,0.424,1
"NTM",0.00649753510522596,-1.17140936816224,0.5,0.808,1
"CLASP1",0.00662680727846147,-2.7297689839177,0.056,0.397,1
"JPX",0.00662772510976153,-2.20908583943154,0.056,0.417,1
"AC104123.1",0.00718385307377728,-6.24184621656437,0,0.305,1
"OSTF1",0.00730409401890027,2.51747966042646,0.333,0.132,1
"CTNND1",0.00738061665963479,2.56555283877758,0.278,0.086,1
"WWOX",0.00766087681197903,-0.772964232991899,0.222,0.623,1
"TNRC6B",0.00792293039180585,-1.29841592477545,0.222,0.616,1
"TRIO",0.00799346951983384,1.16414446996858,0.722,0.768,1
"SORT1",0.00804413306077377,-6.03110799128917,0,0.298,1
"CNTRL",0.00804413306077377,-5.72256504135491,0,0.298,1
"PLAUR",0.00804478850432441,3.01817291295768,0.333,0.132,1
"SLCO2B1",0.00805322532169224,-2.41277561070499,0.056,0.397,1
"SNHG14",0.00844708933329746,-2.73931509530318,0.056,0.377,1
"HDC",0.00872936178303568,1.42379114052256,0.611,0.477,1
"G3BP2",0.00880425924487529,3.44264900362167,0.222,0.06,1
"SCFD2",0.00883531022731797,-2.48396025840578,0.056,0.391,1
"MTCL1",0.00894210300849639,-2.23294322053407,0.056,0.397,1
"NMT2",0.00899802467198577,-5.92210774521244,0,0.291,1
"WWC3",0.00899802467198577,-5.94730560934006,0,0.291,1
"DAB1",0.00899809644847789,-6.23636572440685,0,0.291,1
"BMPR1A",0.00899809644847789,-6.04425296748733,0,0.291,1
"NFATC3",0.00899809644847789,-6.11495343258705,0,0.291,1
"SLC2A3",0.00934103596750421,1.72881020286702,0.5,0.272,1
"IL18R1",0.00937542111637254,-0.680836898453401,0.722,0.914,1
"TLK2",0.00952854344933675,2.57046155149658,0.278,0.093,1
"TAB2",0.0100559179934031,2.35086120061434,0.278,0.093,1
"UBE2D3",0.010205171034737,2.4738916430104,0.333,0.139,1
"LRBA",0.0102983258118622,-1.93491983774275,0.111,0.437,1
"PITPNC1",0.0103015092487485,2.0566952852685,0.389,0.179,1
"TNIK",0.0105751008415142,-0.739065288170841,0.5,0.874,1
"HNRNPA2B1",0.0110999297137891,1.41194294498784,0.556,0.351,1
"AGAP3",0.0111119695793756,3.12295856153652,0.278,0.099,1
"AC019197.1",0.0112246570446189,-6.32575524880871,0,0.278,1
"HS2ST1",0.0112247447911129,-6.07228432709115,0,0.278,1
"RHEX",0.0112247447911129,-5.79925578132794,0,0.278,1
"TFDP2",0.0112247447911129,-5.83440480358704,0,0.278,1
"UMAD1",0.0112247447911129,-6.02475998282431,0,0.278,1
"MT-ATP6",0.0112247447911129,-6.88663767904995,0,0.278,1
"KCNQ1OT1",0.0113339620359453,-1.18736732970119,0.167,0.53,1
"INPP5A",0.0113927766078939,2.21311783761695,0.389,0.192,1
"LINC02147",0.0115599440594008,-2.35591691381733,0.056,0.377,1
"RPP38",0.011606291966914,-2.40482798765844,0.056,0.371,1
"RAB11A",0.0118886947147503,2.04203778072372,0.5,0.298,1
"COBL",0.0119333443070235,2.49678503726011,0.444,0.265,1
"HERC4",0.011962087102333,-2.18739490941389,0.056,0.377,1
"NUTM2A-AS1",0.0122196651326632,-2.24713535983629,0.056,0.371,1
"RSRP1",0.0125183858437643,-5.83251565791794,0,0.272,1
"FRMD4B",0.0125183858437643,-6.06083829683491,0,0.272,1
"DMXL1",0.0125183858437643,-5.73665781227054,0,0.272,1
"TMEM266",0.0125183858437643,-6.0785349503351,0,0.272,1
"ARID4B",0.0126141481529998,1.74365871899156,0.5,0.305,1
"RFX3",0.013305865211709,-2.12200494175774,0.056,0.371,1
"GNPTAB",0.0133077467332671,-1.23612153867055,0.111,0.477,1
"PICALM",0.0135523559728348,1.94138412877655,0.5,0.351,1
"FARS2",0.0136710103606067,-1.61367802597303,0.111,0.45,1
"ST8SIA6-AS1",0.0139476594837859,-6.02163330337099,0,0.265,1
"CMTM7",0.0139477663899011,-5.75178935397397,0,0.265,1
"MED12L",0.0139477663899011,-6.1281506037941,0,0.265,1
"RIPOR2",0.0139477663899011,-5.88333959101939,0,0.265,1
"DIP2B",0.0139477663899011,-6.0518725409094,0,0.265,1
"MAP4K5",0.0139477663899011,-5.57639625776002,0,0.265,1
"ANKRD28",0.014646502470141,-1.84089071427812,0.111,0.444,1
"PACSIN2",0.0147214042932277,-1.42619574220847,0.056,0.371,1
"SEC24D",0.014850499296909,3.15783646599861,0.222,0.066,1
"SAMHD1",0.0149698111313473,-1.6021923525551,0.056,0.371,1
"GBE1",0.0151311371895128,-2.42595030164731,0.056,0.351,1
"STK38",0.0152939014633823,2.89836616042269,0.222,0.066,1
"FBXO34",0.0154593159612107,1.57877468764965,0.444,0.225,1
"OSBPL9",0.0155257023629554,-5.72239494865784,0,0.258,1
"ADGRE5",0.0155257023629554,-5.69693698986169,0,0.258,1
"BTD",0.0155258202227221,-5.91101919115153,0,0.258,1
"PHF3",0.0155258202227221,-5.94004689310402,0,0.258,1
"PPP3CB",0.0155258202227221,-5.77039252469673,0,0.258,1
"MPHOSPH8",0.0155258202227221,-5.71058149756833,0,0.258,1
"AC015908.3",0.0155258202227221,-5.78218429567865,0,0.258,1
"ST8SIA6",0.0156012611908978,-1.6499187414386,0.111,0.444,1
"NUTM2B-AS1",0.015813576217662,-1.8023733963049,0.111,0.424,1
"PDE4A",0.0159520223841638,2.87991687472517,0.278,0.106,1
"VTI1A",0.0160406708715969,-0.825323499505359,0.111,0.477,1
"CCND3",0.0160847018612391,-1.35006704566218,0.222,0.576,1
"PPM1H",0.0165029397749097,-2.45962453808594,0.056,0.344,1
"CTTNBP2",0.017033864682382,-1.23576279407436,0.111,0.45,1
"LINC02752",0.0172294811986748,-1.02623629170556,0.111,0.437,1
"DST",0.0172382138309281,1.80774898005973,0.444,0.245,1
"ASCC3",0.0172664875089068,-5.61780227620413,0,0.252,1
"RNF216",0.0172666173452773,-5.42797437028272,0,0.252,1
"SPIRE1",0.0172666173452773,-5.78314867260466,0,0.252,1
"KIAA1328",0.0172666173452773,-5.89347567282192,0,0.252,1
"TIAM1",0.0172666173452773,-5.76852854294863,0,0.252,1
"MT-ND2",0.0172666173452773,-6.90989909837307,0,0.252,1
"ZNF704",0.0178570535866626,-1.31347150523818,0.167,0.51,1
"PPARD",0.0180034950305177,2.24395863725515,0.278,0.106,1
"IKZF1",0.0180094675481795,-1.27203744682339,0.167,0.53,1
"COBLL1",0.0182317755220378,-1.47501547331439,0.111,0.444,1
"KIT",0.0185183364091895,0.690229152785111,0.944,0.914,1
"DNAJC7",0.0187372432618275,2.01747656004581,0.222,0.066,1
"LCP2",0.0189139409676167,-2.55737544436823,0.056,0.338,1
"TRIM24",0.019185176600379,-5.76975022353406,0,0.245,1
"AC046134.2",0.0191854624498452,-5.58923281066507,0,0.245,1
"GMDS",0.0191854624498452,-5.83688981776537,0,0.245,1
"NIBAN2",0.0191854624498452,-5.87323162322045,0,0.245,1
"SYTL2",0.0191854624498452,-5.78656132090291,0,0.245,1
"ATM",0.0191854624498452,-5.70317954577999,0,0.245,1
"IL18",0.0191854624498452,-5.71746589644044,0,0.245,1
"MIR99AHG",0.0191854624498452,-5.93881897796796,0,0.245,1
"TOX",0.019584992249899,-2.7317636592778,0.056,0.331,1
"SPECC1",0.0195943943435531,-1.87581550887233,0.111,0.404,1
"GOLGA4",0.0205658228294823,1.33091679980847,0.5,0.311,1
"NSD2",0.021154114284937,2.80737324244515,0.278,0.113,1
"SPG11",0.0212988460851931,-5.72162474134989,0,0.238,1
"GRK3",0.0212990033075286,-5.71412641041102,0,0.238,1
"AL050309.1",0.0212990033075286,-5.635255546279,0,0.238,1
"DCTN4",0.0214365051618344,2.44634715294878,0.333,0.152,1
"FAR1",0.0214914652417639,2.09681187321214,0.333,0.159,1
"EHMT1",0.022026014773131,-2.95040767975518,0.056,0.311,1
"PBX3",0.0227517435771612,-0.863758797694196,0.167,0.51,1
"PBX1",0.0228489092574538,-0.735083876801663,0.167,0.503,1
"ATG7",0.0236251775962174,-5.67921751660694,0,0.232,1
"ZMYM4",0.0236253504302694,-5.61989184424504,0,0.232,1
"CD84",0.0236253504302694,-5.42620281404413,0,0.232,1
"ZNF618",0.0236253504302694,-5.65281997008085,0,0.232,1
"SPRED1",0.0236253504302694,-5.56914763072128,0,0.232,1
"RAB1A",0.0238041261485297,1.87935786066907,0.389,0.219,1
"ATP9B",0.023824703377626,-1.90050671068064,0.056,0.338,1
"SREBF2",0.0238939699534874,2.0744329192337,0.278,0.106,1
"LPCAT2",0.0242144149984973,-1.54781815436606,0.056,0.338,1
"CTNNB1",0.0246513629982223,1.56818778593771,0.389,0.199,1
"RASA1",0.0246776293604118,-1.07320950866505,0.111,0.444,1
"GAS7",0.0247262646817831,-0.813630694824192,0.167,0.523,1
"CHD9",0.0251592386863107,-3.04687914868203,0.056,0.305,1
"CTNNA1",0.0257225579006302,2.03129357449023,0.333,0.159,1
"LRRFIP1",0.026028259777067,-0.692612208354206,0.111,0.417,1
"SLC25A13",0.0261722852721583,2.11519233017331,0.333,0.166,1
"AC004593.1",0.0261840197408085,-5.45949639920415,0,0.225,1
"CCDC92",0.0261840197408085,-5.70749222949474,0,0.225,1
"ULK4",0.0261842096160133,-5.79245785751402,0,0.225,1
"MAP4",0.0261842096160133,-5.50293326385177,0,0.225,1
"BOD1L1",0.0261842096160133,-5.61040372346047,0,0.225,1
"RAP1GDS1",0.0261842096160133,-5.69680623402234,0,0.225,1
"GTF2I",0.0261842096160133,-5.36747325194851,0,0.225,1
"CD82",0.0261842096160133,-5.41503696231706,0,0.225,1
"WNK1",0.0261842096160133,-5.49512917037225,0,0.225,1
"TSC22D3",0.0261842096160133,-5.64775891246945,0,0.225,1
