"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TSIX",3.92050426755119e-24,-10.8953934626699,0,0.716,9.87535819953468e-20
"ZBTB16",1.28774462553572e-23,-5.5715747187149,0.02,0.735,3.24369993726192e-19
"FKBP5",1.41180884221122e-20,-3.03086356770997,0.173,0.824,3.55620529264584e-16
"XIST",1.87600537446869e-18,-9.97133297971482,0,0.578,4.72546993774917e-14
"AOAH",3.02231965338433e-15,-1.9584655617833,0.388,0.873,7.6129209749098e-11
"NAMPT",6.83626616236163e-13,2.30185802734084,0.755,0.382,1.72198708363727e-08
"LINC00278",9.92924863587311e-12,9.79858841167934,0.378,0,2.50107843889008e-07
"ADAM10",1.88901181787295e-11,3.58746985699752,0.459,0.049,4.75823186804016e-07
"UTY",2.1262527790268e-11,9.28689487922768,0.367,0,5.35581812509061e-07
"RIPOR2",2.52242611649598e-11,-1.96783843176756,0.296,0.716,6.35373914484171e-07
"ATP2B1",2.59962739920789e-11,2.16668547111869,0.745,0.412,6.54820145586475e-07
"CCND3",3.65907691350621e-11,-3.00790314714151,0.092,0.529,9.2168488374308e-07
"SMAP2",1.1310889335766e-10,-1.79946153224885,0.296,0.725,2.84909991478609e-06
"MARCH1",1.70380569189938e-10,-2.43902034190791,0.163,0.588,4.29171615732535e-06
"HSP90AA1",2.00200954345339e-10,10.6561285979312,0.337,0,5.04286183900474e-06
"HIF1A",4.49946405675368e-10,4.06239564553176,0.469,0.098,1.13337000125568e-05
"FAM117B",4.54827758103914e-10,-3.79975861042425,0.041,0.412,1.14566563988795e-05
"AC111170.1",5.16885156007489e-10,-3.99776715801105,0.02,0.382,1.30198201946726e-05
"MALAT1",6.28895614327887e-10,0.565431375485133,1,0.99,1.58412516293052e-05
"UBASH3B",9.50627400028181e-10,2.43842446591597,0.622,0.284,2.39453535793099e-05
"CELF2",1.13697365031562e-09,-1.26200044426934,0.612,0.863,2.86392292778002e-05
"CD83",1.99047368665922e-09,3.6357524629519,0.408,0.059,5.01380416932592e-05
"MT-ND5",3.05822496223761e-09,-2.72891655457746,0.051,0.422,7.70336285738031e-05
"FTH1",7.34834460135638e-09,8.86743087070793,0.286,0,0.000185097452163566
"SRGAP1",7.41436677174399e-09,-8.50229630341037,0,0.294,0.000186760484613459
"LYN",7.55199425817659e-09,1.1280401130945,0.878,0.775,0.00019022718336921
"NEAT1",7.81301536429097e-09,1.03348443212592,1,0.98,0.000196802044011125
"WWOX",1.41198295932696e-08,-3.08321267408758,0.041,0.373,0.000355664387624868
"MT-CYB",1.47419207551125e-08,-2.2194005236073,0.092,0.461,0.000371334241900528
"TIAM1",2.05183618918558e-08,-3.36409461102785,0.041,0.363,0.000516837017693956
"RALGAPA2",2.57939973366906e-08,-4.23550285023861,0.01,0.304,0.000649724998913899
"HLA-E",3.00015591595009e-08,5.49720217568712,0.286,0.01,0.000755709273668668
"KYNU",3.82095757048561e-08,1.71164188504693,0.704,0.431,0.00096246100242962
"ATP13A3",4.58314845341466e-08,3.62536858746331,0.398,0.088,0.00115444926393062
"EZR",4.71810055163725e-08,5.25394594714034,0.296,0.02,0.00118844234795191
"C22orf34",5.2880004644222e-08,-3.965930002128,0.02,0.314,0.00133199443698331
