"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HSP90AA1",2.00200954345339e-10,10.6561285979312,0.337,0,5.04286183900474e-06
"LINC00278",9.92924863587311e-12,9.79858841167934,0.378,0,2.50107843889008e-07
"UTY",2.1262527790268e-11,9.28689487922768,0.367,0,5.35581812509061e-07
"FTH1",7.34834460135638e-09,8.86743087070793,0.286,0,0.000185097452163566
"JUND",4.51312495632051e-07,8.62243112094241,0.224,0,0.0113681104524757
"HLA-C",8.78505215822645e-07,8.40340469534554,0.214,0,0.0221286678813566
"B2M",8.78505215822645e-07,8.37152164113988,0.214,0,0.0221286678813566
"NR4A1",8.89100925449235e-07,6.54020968252772,0.235,0.01,0.0223955632111408
"H3F3A",8.89127183282039e-07,6.27094361428406,0.235,0.01,0.0223962246196913
"HLA-E",3.00015591595009e-08,5.49720217568712,0.286,0.01,0.000755709273668668
