"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HSP90AA1",1.77735714907933e-55,14.4379451057175,0.67,0,4.47698492281591e-51
"PDE4D",2.48904543812947e-34,6.51897371959128,0.481,0.016,6.26965655410432e-30
"HSPA1A",4.57163076817005e-32,11.9655812134606,0.406,0,1.15154807419435e-27
"B2M",5.2289913547357e-30,4.0313057821186,0.594,0.1,1.31713063234438e-25
"ATP1B3",1.36760633362542e-29,5.31743147070739,0.509,0.055,3.44486359376907e-25
"TSIX",6.57703187340634e-25,-10.4203210352082,0,0.615,1.65668855859232e-20
"DNAJB1",1.12728906198951e-23,11.1270216766012,0.302,0,2.83952841824536e-19
"HLA-B",4.22349483918968e-22,4.45224050818704,0.387,0.036,1.06385611504349e-17
"UTY",1.85760323879412e-21,10.6511240766028,0.274,0,4.67911679819852e-17
"HSPA8",1.85763975176949e-21,11.2349541821075,0.274,0,4.67920877073216e-17
"CCND3",2.56971097319149e-21,-2.13685874206148,0.245,0.809,6.47284497037205e-17
"HSPH1",3.16585906019202e-20,6.38084727638235,0.283,0.006,7.97448238671768e-16
"FNDC3B",2.02022462881464e-19,-3.2417462634541,0.085,0.608,5.08874381752119e-15
"USP9Y",2.86163462213405e-19,10.7526505208183,0.245,0,7.20817144969346e-15
"FYN",3.15401629059408e-19,1.22438673309589,0.953,0.828,7.94465163437743e-15
"CNOT6L",6.16370199637174e-19,1.88524576051808,0.792,0.511,1.55257489586608e-14
"ZNF331",1.93228142180101e-17,4.02257232228316,0.349,0.045,4.86722367337456e-13
"PTMA",2.1509156008223e-17,6.14892469849507,0.245,0.006,5.41794130691129e-13
"XIST",2.41673394078025e-17,-9.71334029019205,0,0.469,6.08751112343137e-13
"CMIP",4.10207209515432e-16,1.6160853234063,0.764,0.476,1.03327094004842e-11
"DENND3",6.80008499606241e-16,4.30607790376135,0.283,0.026,1.71287340965816e-11
"HSPD1",3.58405601198701e-15,6.31658822950998,0.226,0.01,9.02787868859408e-11
"HIST1H2AC",4.27035447782058e-15,5.79923807551319,0.226,0.01,1.07565958941822e-10
"SYTL3",5.09918429838324e-14,1.18684724592745,0.877,0.754,1.28443353291976e-09
"FKBP5",3.00072460899894e-13,-2.17695116485775,0.189,0.605,7.55852521760742e-09
"CREBRF",5.92733679477712e-13,4.74696536041722,0.208,0.013,1.49303686523641e-08
"PTPRC",7.59185831957797e-13,0.995748731635371,0.953,0.88,1.9123131921185e-08
"NEAT1",9.56914207264152e-13,1.31351487513109,0.792,0.625,2.41037119667767e-08
"PIK3R1",4.07717071747831e-11,2.02044772908896,0.528,0.259,1.02699853202561e-06
"IKZF1",4.95032794983655e-11,-1.13383539955955,0.358,0.803,1.24693810728433e-06
"C22orf34",7.65586613096628e-11,-3.03732769953165,0.038,0.385,1.9284361197291e-06
"USP36",7.9956603177478e-11,3.02552762999579,0.302,0.068,2.01402687743749e-06
"CEMIP2",2.48356482421318e-10,1.66374762055027,0.632,0.414,6.25585143571057e-06
"CLEC2B",3.01269845347874e-10,2.64118099529784,0.406,0.159,7.58868613446761e-06
"SMCHD1",3.55452082806749e-10,1.57796097206255,0.698,0.547,8.9534825138192e-06
"SLC2A3",6.02377404842792e-10,4.34388475278479,0.208,0.029,1.51732844505851e-05
"PREX1",1.4334656810526e-09,-1.81907346853287,0.113,0.472,3.61075670400339e-05
"VPS37B",2.6841750801845e-09,2.3674712904716,0.387,0.155,6.76116860947672e-05
"CELF2",4.23797222851697e-09,-0.794468334477117,0.547,0.871,0.000106750282464114
"FTX",5.80494803974804e-09,-1.35229798596593,0.217,0.579,0.000146220836173213
"TBXAS1",8.04414603101669e-09,-2.99707160890376,0.038,0.33,0.00020262399437528
"STAT4",9.68514204965633e-09,1.20596121049392,0.726,0.592,0.000243959043088793
"PDE7A",9.94442959529387e-09,1.60182641236343,0.547,0.32,0.000250490237075857
"SPON2",1.24236646603288e-08,-1.92012818496946,0.104,0.424,0.000312939689129023
"GPATCH8",1.60095980280768e-08,-1.29018291271979,0.255,0.608,0.000403265764729226
"DOK6",1.62627664080241e-08,-8.83874538439183,0,0.249,0.000409642823051719
"CD226",2.28956806888171e-08,-2.08094971491072,0.057,0.353,0.000576719300870615
"AUTS2",3.01347325411098e-08,1.46786684374179,0.547,0.324,0.000759063777978014
"PTGES3",3.36605226656617e-08,3.13843684796975,0.226,0.052,0.000847874905425353
"PIK3R5",3.48390423565074e-08,-1.2807593139679,0.198,0.56,0.000877560637918065
"PITPNC1",3.55021349039851e-08,0.906287656785898,0.868,0.783,0.000894263276096481
"EZR",3.88549207971887e-08,3.37814738614921,0.208,0.042,0.000978716599960386
"SKAP1",8.81961864392594e-08,-0.818640448834668,0.5,0.832,0.00222157374021851
"MT-CO2",8.93556331850712e-08,-1.63777211022405,0.104,0.414,0.00225077904429876
"SLC38A1",1.3262895969823e-07,1.34852528335363,0.557,0.362,0.00334079086583872
"MALAT1",1.39334360393639e-07,0.265754320047218,1,1,0.00350969320395538
"PDE3B",1.58584545006046e-07,1.86110981485937,0.453,0.227,0.0039945861041573
"ADAM10",1.73289642249581e-07,2.77019441707013,0.217,0.052,0.0043649927986247
"HIPK2",2.06218461805764e-07,-1.14762564486725,0.151,0.476,0.0051944368344254
"KANSL1L",2.33519006404581e-07,-5.47789021430883,0.009,0.23,0.00588211025232498
"PPM1L",2.86870015313956e-07,-1.7183412959525,0.113,0.395,0.00722596881574324
