"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"XIST",6.89097036116824e-17,-9.85084022679985,0,0.71,1.73576652427467e-12
"TSIX",4.73556411364359e-16,-10.5465087368694,0,0.677,1.19284124458568e-11
"C22orf34",1.69792824627119e-12,-4.30039942683301,0.037,0.645,4.2769114595325e-08
"MT-CO2",2.58164860278171e-11,-9.25953929685893,0,0.484,6.50291466554686e-07
"SNCAIP",3.33124203317535e-10,-4.30618675456075,0.037,0.548,8.3910655573654e-06
"TGFBR2",4.93387674853292e-10,-2.84031521467134,0.148,0.742,1.24279421418796e-05
"NCALD",2.09359462331499e-08,-8.17687216638135,0,0.355,0.000527355549666814
"ADAMTS9",2.11799962959742e-08,4.15844717095742,0.741,0.161,0.000533502926699294
"RCSD1",1.04830266054403e-07,-8.39058543200125,0,0.323,0.00264056957164436
"SCGB1A1",1.04830266054403e-07,-8.59257335099566,0,0.323,0.00264056957164436
"MT-ATP6",1.04830266054403e-07,-8.36784794412581,0,0.323,0.00264056957164436
"HSP90AA1",2.04253414136078e-07,9.46275367147915,0.568,0,0.00514493924867366
"ZNF521",2.09990440768045e-07,-1.86114083885714,0.222,0.742,0.00528944921250627
"RAPGEF5",2.35596264116119e-07,2.59340949410034,0.765,0.323,0.00593443429682091
"MT-ND2",5.12855610225566e-07,-8.66809070567396,0,0.29,0.0129183199659718
"MT-ND4",5.12855610225566e-07,-8.8744374087984,0,0.29,0.0129183199659718
"MT-CYB",5.12855610225566e-07,-8.32774647197648,0,0.29,0.0129183199659718
"PPFIBP1",6.04624045527821e-07,1.38947583261699,0.938,0.839,0.0152298750828003
"LDB2",2.25967540631026e-06,1.22518562523457,0.975,0.806,0.0569189638095491
"MYH10",2.2899171567214e-06,-2.73408482814635,0.099,0.516,0.0576807232606554
"MCC",2.45502162290563e-06,-8.43511069203899,0,0.258,0.06183953965937
"ZNF655",2.45502162290563e-06,-7.45513717033775,0,0.258,0.06183953965937
"ADAM10",2.75906478452177e-06,6.1785131032458,0.519,0.032,0.0694980828573189
"RUNX1T1",3.0350438834455e-06,-3.29793815782068,0.062,0.419,0.0764497203801087
"STON2",3.63027922816547e-06,-2.3730020043282,0.086,0.484,0.09144310347826
"TLE1",4.9250335688089e-06,-2.61165560190502,0.111,0.516,0.124056670564727
"NTN1",6.90106020493822e-06,-1.816523491505,0.222,0.677,0.173830805502189
"ST6GAL1",1.12882271981688e-05,-2.35662734369634,0.123,0.516,0.284339154894674
"RHD",1.15202406747185e-05,-7.45269213030043,0,0.226,0.290183342355485
"IRAK1BP1",1.15202406747185e-05,-7.56417797753072,0,0.226,0.290183342355485
"MT-CO1",1.15202406747185e-05,-7.82959857916619,0,0.226,0.290183342355485
"IGFBP7",1.52356506389922e-05,-2.08258017759641,0.136,0.516,0.383770803945575
"FOXN3",1.8145200401126e-05,-1.79241037243211,0.173,0.581,0.457059452903964
"CASC4",2.01966329771497e-05,-4.99261012594273,0.012,0.258,0.508732988061424
"ROCK2",2.23535478295805e-05,2.24516356399612,0.679,0.355,0.563063516279303
"ZFP36L2",2.42875506498673e-05,-3.79644492828142,0.012,0.258,0.611779113319508
"ZNF385D",2.58298787021462e-05,8.05854701662453,0.42,0,0.650628814628362
"ARHGEF12",3.09459131729214e-05,2.85165880896868,0.58,0.194,0.779496606912716
"HSPA1A",3.7116973273144e-05,8.08665954483817,0.407,0,0.934939439777225
"SNX25",4.4477259488592e-05,3.8277250938696,0.481,0.065,1
"TGFBR3",7.09458080448303e-05,-2.49598442339623,0.099,0.419,1
"PDE4D",7.96211905046127e-05,1.83658088229428,0.716,0.387,1
"PCNX4",8.40341701025507e-05,-4.77903912918173,0.012,0.226,1
"MAOA",8.40341701025507e-05,-5.49578456580008,0.012,0.226,1
"CSGALNACT1",8.64268332732664e-05,-1.72255146295425,0.21,0.581,1
"WWTR1",8.99961123419339e-05,2.29369175937284,0.654,0.355,1
"RPP38",9.48258639460592e-05,-3.80063443016291,0.012,0.226,1
"KIAA1671",0.00011134354044985,-1.46344759649526,0.259,0.645,1
"NEK7",0.000111509193746989,-3.21309163138544,0.037,0.29,1
"LMCD1",0.00011395541166424,-3.8061099210035,0.025,0.258,1
"SNX2",0.00011395541166424,-3.45703193580587,0.025,0.258,1
"ZNF462",0.000120242845831849,-3.40621825329325,0.025,0.258,1
"DIP2C",0.000130152695792846,3.83622645990957,0.481,0.129,1
"EPAS1",0.000135837863624423,-2.81452527352067,0.037,0.29,1
"ARID4B",0.000136477482925564,2.60784059155087,0.543,0.194,1
"ROBO4",0.000141125045435613,-3.1589106893739,0.025,0.258,1
"SORBS1",0.000148042341644395,2.61150104381817,0.543,0.161,1
"SLC2A3",0.000149619540365001,7.68537395329584,0.358,0,1
"MIR99AHG",0.000150832368726918,-1.86110176547955,0.185,0.516,1
"AC007193.2",0.000167903323780253,-1.99991135950481,0.099,0.419,1
"FBH1",0.0001743141149656,-2.19687525010595,0.025,0.258,1
