"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TSIX",4.30354937698911e-157,-8.53565580594262,0.004,0.828,1.08402105256979e-152
"XIST",2.70811844545343e-150,-12.3406142520182,0,0.801,6.82147955225264e-146
"NEAT1",4.51402013856144e-112,1.66114502983775,0.988,0.827,1.13703653270224e-107
"PDE4D",3.31388642998992e-93,1.93904816285632,0.91,0.691,8.34734852850162e-89
"UTY",1.04716480390367e-74,11.526616953707,0.341,0,2.63770342455295e-70
"SHROOM3",6.6019362264104e-62,-1.35197618139244,0.535,0.903,1.66296171607052e-57
"ATP1B3",1.84059657315599e-61,3.55188979338513,0.498,0.127,4.63627870812262e-57
"KCNT2",6.93883972831225e-60,-2.41276675128007,0.21,0.666,1.74782433916457e-55
"SYNE1",1.0528091839682e-58,-1.77495853031117,0.333,0.773,2.65192105349749e-54
"TGFBR2",1.1501948042709e-58,-1.72942595644378,0.308,0.76,2.89722569247796e-54
"GTF2IRD1",1.05505265419598e-57,1.99415308171258,0.669,0.306,2.65757213065425e-53
"ATP11A",3.1491650857807e-56,1.13004793746722,0.922,0.833,7.93243193457301e-52
"ADGRD1",1.79113194588462e-54,1.97909701301362,0.663,0.333,4.51168225848878e-50
"TTTY14",3.4018100698666e-54,11.1834900395576,0.253,0,8.56881938498698e-50
"RTKN2",8.39231886358919e-53,-1.55642967610081,0.514,0.816,2.11394119854948e-48
"PARD3",6.41506194152519e-51,1.04437566008266,0.924,0.838,1.61588995245078e-46
"USP9Y",1.07574573078031e-50,9.66296954629158,0.241,0.001,2.70969592126252e-46
"CAV1",5.79713304707672e-50,-1.64766034939093,0.327,0.746,1.46023984322816e-45
"EGFR",4.28237788007499e-48,-1.53815554001102,0.371,0.771,1.07868816421209e-43
"PIP5K1B",1.61510019379461e-47,-1.81420617539971,0.218,0.642,4.06827587814925e-43
"FAM189A2",4.3885351121546e-47,-1.74188449178476,0.314,0.717,1.10542810940062e-42
"JUND",1.53497898411321e-46,5.23204341744459,0.257,0.014,3.86645856308277e-42
"RGL1",6.612676874594e-46,-2.9474496127063,0.071,0.453,1.66566717794148e-41
"SLC1A1",9.95748186382854e-46,-2.0820768566992,0.159,0.567,2.50819010667977e-41
"ATF7IP2",1.48218204380689e-44,-1.16223034971672,0.722,0.916,3.73346835014518e-40
"IFI44L",1.98339001353145e-43,6.8186388282127,0.218,0.005,4.99596110508436e-39
"CD55",8.76310248794457e-43,1.33538548673862,0.831,0.718,2.20733788568836e-38
"COL4A1",3.25645012365356e-42,1.57202420394311,0.739,0.514,8.20267221647094e-38
"ANOS1",5.53904856645042e-42,-1.81420157936689,0.214,0.606,1.3952309434032e-37
"LRRFIP1",6.85086795178672e-42,1.13586910050237,0.835,0.73,1.72566512837556e-37
"SEMA3E",6.62452591362963e-41,-6.77929794908073,0.006,0.311,1.66865183238417e-36
"P3H2",7.17328014626244e-41,-2.04759112099559,0.157,0.537,1.80687753604205e-36
"AL022068.1",7.20954712596851e-41,-2.99667176211556,0.071,0.42,1.81601282556021e-36
"AC011444.2",9.09794799575344e-41,-1.86299903959822,0.186,0.568,2.29168212065033e-36
"RGCC",1.31698872699274e-39,-2.76228338238566,0.067,0.41,3.31736290442202e-35
"CFLAR-AS1",1.67178727414864e-39,-2.23295086339952,0.102,0.468,4.211064964853e-35
"MALAT1",4.73769234963918e-39,0.346560917480135,1,0.999,1.19337732595061e-34
"ARHGEF26",9.26292084155114e-39,-1.20716227633384,0.404,0.758,2.33323713077832e-34
"VEPH1",1.65892631160736e-38,-2.46808026475771,0.09,0.436,4.17866948630778e-34
"NTN4",1.81211361079157e-38,-6.97805835682707,0.004,0.292,4.56453297422289e-34
"COL4A4",1.68285586735483e-37,-1.36786329399573,0.276,0.664,4.23894564428007e-33
"ABCA1",1.79029953618303e-37,-1.95116422786266,0.163,0.528,4.50958550169144e-33
"GNAQ",2.12719200720323e-37,-1.10146020649789,0.5,0.818,5.35818394694421e-33
"CLIC5",9.06929685248274e-37,0.96013263768485,0.892,0.818,2.28446518417188e-32
"AC068587.4",1.43231884679768e-36,-2.23817257676305,0.082,0.425,3.60786794319869e-32
"SMYD3",4.52621613253313e-36,-1.05222406335076,0.514,0.83,1.14010858162377e-31
"ZBTB16",5.3966006384837e-36,-1.01431607771734,0.59,0.871,1.35934973482766e-31
"CNTN4",6.24596766029696e-36,-1.83389702836702,0.145,0.501,1.5732967939522e-31
"ATP10A",1.13606678489305e-35,-1.54129693755994,0.229,0.61,2.8616386244671e-31
"AC044810.2",3.63980446800121e-35,-1.19484309229828,0.42,0.764,9.16830347444825e-31
"ELF3",9.69773563260654e-35,3.03312946552773,0.341,0.092,2.44276262849726e-30
"MAPK10",6.49934504473204e-34,-3.41730967348835,0.033,0.318,1.63712002331755e-29
"ATG10",1.19298085913651e-33,-3.34580389823738,0.022,0.298,3.00499948607895e-29
"IGFBP7",1.95739553764012e-33,-4.78180587334339,0.012,0.276,4.93048361976169e-29
"AC092944.1",6.68908247143476e-33,-2.5882373706717,0.08,0.382,1.6849129837297e-28
"XAF1",8.08634032844362e-33,3.00384835899684,0.3,0.069,2.03686826533166e-28
"MAGI1",2.42254978677074e-32,0.601637203552527,0.953,0.933,6.10216065789681e-28
"PHACTR2",1.12291685068874e-31,-1.96130751143272,0.108,0.427,2.82851525519987e-27
"COL4A3",2.97712795913174e-31,-0.930040212496144,0.584,0.835,7.49908761625695e-27
"ADGRF5",3.85835409208604e-31,-1.77132996490172,0.104,0.421,9.71880812255552e-27
"CACNA2D1",1.29732098070655e-30,-9.52737110042123,0,0.232,3.26782181830173e-26
"ZSWIM6",1.53050317690861e-30,1.30469266993765,0.708,0.539,3.8551844523151e-26
"AL132857.1",1.81726493251899e-30,-1.24889325989752,0.333,0.666,4.57750863852208e-26
"LMTK2",2.67749978057458e-30,1.36671346444653,0.641,0.43,6.7443541972893e-26
"TNS3",2.94342517600628e-30,-1.12671503344085,0.373,0.711,7.41419367584222e-26
"AC016745.1",5.60983181730514e-30,-3.30467171377776,0.02,0.271,1.41306053646099e-25
"SCEL",6.35397052762754e-30,0.861858722692024,0.857,0.792,1.6005016362041e-25
"MAGI3",6.94901771603348e-30,-0.835567837930249,0.727,0.904,1.75038807249167e-25
"PALM2-AKAP2",9.8087591842871e-30,-1.39598267819545,0.22,0.56,2.47072835093008e-25
"CTNNA1",1.07363394876085e-29,1.26109328830746,0.724,0.6,2.70437655353371e-25
"NRG1",3.55659885737799e-29,-1.61905446941838,0.251,0.579,8.95871686184942e-25
"TACC1",5.00201511412298e-29,-0.977473245512895,0.659,0.859,1.25995758709644e-24
"CAPN2",5.2099529245307e-29,-1.3992552264656,0.198,0.535,1.31233504216004e-24
"ST6GALNAC5",1.28001964641645e-28,-1.01194092244438,0.498,0.782,3.2242414873584e-24
"SLC45A4",3.90113806576627e-28,2.3915587610094,0.365,0.134,9.82657667385865e-24
"LINC01290",4.38743387931089e-28,-0.871200780705077,0.614,0.845,1.10515071985962e-23
"DLC1",6.1024220555661e-28,0.946259628240488,0.833,0.749,1.53713909157655e-23
"VCL",1.54811899950309e-27,-1.26692340935934,0.229,0.557,3.89955694784834e-23
"AKAP7",1.88479883396224e-27,-1.55502747027815,0.157,0.462,4.74761978286748e-23
"CHSY3",2.61074664790072e-27,-1.95475589905943,0.1,0.379,6.57620973139714e-23
"NAMPT",3.74959258229626e-27,2.86524391417694,0.276,0.07,9.44484875554606e-23
"FRY",4.01942133493459e-27,-1.25049900970004,0.29,0.604,1.01245204005667e-22
"PTPN14",6.92780805071036e-27,-1.38697358668513,0.206,0.523,1.74504556989343e-22
"FGD6",7.92753968894396e-27,-2.66810479732241,0.045,0.293,1.99686797224809e-22
"SLC38A2",1.38745491743163e-26,3.3694497320886,0.235,0.05,3.49486019151854e-22
"NAV2",1.56747374331514e-26,-0.737877891705685,0.635,0.874,3.94830961203652e-22
"ESYT2",1.61938181856079e-26,1.42296712619574,0.635,0.486,4.07906086277277e-22
