"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"UTY",9.03662499898174e-65,11.7688107049392,0.398,0,2.27623547099351e-60
"SLC2A3",1.63212414755687e-32,7.80894823534591,0.227,0.004,4.11115751528099e-28
"USP9Y",2.80721549923004e-46,7.24652865892413,0.305,0.003,7.07109512101056e-42
"JUND",2.3498025080728e-32,6.22748651120375,0.227,0.004,5.91891753758457e-28
"ATP1B3",1.20556335388229e-16,4.07488624105658,0.266,0.053,3.03669353209409e-12
"BHLHE40",3.28824278613587e-18,4.01928753725175,0.25,0.04,8.28275475399765e-14
"NAMPT",1.76069283125577e-25,3.94022432234358,0.414,0.091,4.43500917265016e-21
"CXCL2",5.56091165184938e-09,3.20528262854864,0.211,0.063,0.000140073803598434
"AC011511.2",5.41196991330711e-06,3.13010872147665,0.203,0.082,0.136322110146293
"ELF3",8.91461061844673e-16,2.99027335327102,0.312,0.079,2.24550126868055e-11
