"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TTTY14",2.07104188448328e-34,10.1565898060771,0.276,0,5.21674740282492e-30
"UTY",9.43838285612113e-66,9.13565088072676,0.492,0.002,2.37743425762835e-61
"USP9Y",5.4632869944571e-46,8.69058479215411,0.363,0.002,1.3761473610338e-41
"HIST1H2AC",2.31670013427601e-30,6.16972704157974,0.289,0.021,5.83553596822784e-26
"HSPA1A",7.65877957403385e-40,5.65189800081505,0.361,0.023,1.92916998690339e-35
"CLSTN2",4.22021494336238e-24,4.3021352214398,0.245,0.021,1.06302994208355e-19
"PLCG2",1.09573840281616e-22,3.65441340684782,0.245,0.025,2.76005546285362e-18
"IFI44L",2.06221487839309e-24,3.43830455311781,0.286,0.04,5.19451305718435e-20
"FDFT1",3.45877508901733e-12,2.25076853930876,0.335,0.154,8.71230857172575e-08
"AGTPBP1",4.78970265285324e-12,2.23692306613842,0.209,0.056,1.2064782012272e-07
