"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HSP90AA1",1.12532667930168e-09,11.2767770026129,0.677,0,2.834585372493e-05
"UTY",8.72409535265977e-07,8.9542588573807,0.484,0,0.0219751237838147
"IFI44L",4.36379665102413e-05,8.38325724844858,0.355,0,1
"USP9Y",0.0015585401445491,7.37241563212491,0.226,0,1
"HSPA1A",0.000654743441380215,7.29384087002796,0.258,0,1
"KHDRBS2",0.0015585401445491,7.23768740904773,0.226,0,1
"MORF4L2",0.0015585401445491,7.03629058584771,0.226,0,1
"HSPH1",0.00106721275996484,5.35962059892256,0.29,0.024,1
"HIST1H2AC",0.0026244750697953,5.23243431522509,0.258,0.024,1
"ESYT2",0.00106721275996484,5.1380773745814,0.29,0.024,1
