"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HSP90AA1",2.69682845796795e-59,15.1982750697642,0.766,0,6.79304120277546e-55
"DNAJB1",1.1669238221525e-34,11.907616629108,0.468,0,2.93936441561993e-30
"HSPA1A",1.18036303160714e-33,12.1513649586182,0.455,0,2.97321644031522e-29
"HLA-B",1.48684180462176e-27,5.60026068018941,0.442,0.017,3.74520582166175e-23
"HSPH1",1.66022897514285e-26,7.45398888605267,0.377,0.003,4.18195076548733e-22
"ATP1B3",2.88943216037712e-26,5.54047566862945,0.455,0.027,7.27819066877393e-22
"PDE4D",1.1564649017956e-25,7.05549727432556,0.39,0.01,2.91301944113293e-21
"CNOT6L",2.09820577851162e-25,2.46815896149778,0.896,0.406,5.28517053549292e-21
"HIST1H2AC",6.95295562703417e-24,12.0554095775033,0.325,0,1.75137999289364e-19
"HSPD1",1.07102817145369e-23,6.49117986057314,0.364,0.01,2.6978128610747e-19
"B2M",7.43542034626957e-23,5.91741112602211,0.377,0.017,1.87290803102184e-18
"FYN",8.35600599795644e-23,1.69795526557203,0.961,0.703,2.10479435082525e-18
"NEAT1",5.00520174796006e-19,2.79870703944356,0.727,0.283,1.26076026829366e-14
"UTY",2.97060619853807e-18,10.8509116580358,0.247,0,7.48265995349754e-14
"HSP90AB1",2.48629874723469e-17,10.7538325643544,0.234,0,6.26273791440946e-13
"USP36",2.6255855533253e-17,3.83834424637962,0.416,0.061,6.6135874502711e-13
"HSPE1",2.06076324217035e-16,10.5848589309001,0.221,0,5.1908565307029e-12
"HSPA8",2.06082678730935e-16,10.7241883155365,0.221,0,5.19101659455353e-12
"PRKY",1.69172747145585e-15,10.4088456877694,0.208,0,4.26129232785013e-11
"HLA-A",3.53894393181274e-15,5.52830454073731,0.247,0.01,8.91424586984311e-11
"SYTL3",2.57831651942487e-14,1.59254866998988,0.831,0.573,6.49452148077932e-10
"NR4A2",2.69271006495057e-13,5.39466359981139,0.208,0.007,6.78266738260399e-09
"SIK3",3.62023158537834e-13,1.87564172182167,0.766,0.444,9.1190013404095e-09
"ZNF331",1.1982569767904e-12,4.46921847146582,0.273,0.031,3.01828949883733e-08
"CMIP",5.80494105444859e-12,1.7954865927083,0.727,0.413,1.46220660220506e-07
"PIK3R1",8.05578147054792e-12,2.29749674084673,0.584,0.253,2.02917079461632e-07
"EML4",8.0587162992518e-12,1.80736249809733,0.688,0.403,2.02991004861853e-07
"PTPRM",1.17851329515247e-11,4.03727852103902,0.26,0.031,2.96855713915956e-07
"TSIX",1.33989274998762e-11,-9.58896915192801,0,0.42,3.37505584794381e-07
"FKBP5",1.35764998505242e-11,-2.02548581059925,0.208,0.666,3.41978454734855e-07
"SMCHD1",1.38746428797807e-11,1.92434679020576,0.753,0.512,3.49488379498796e-07
"CCND3",3.49169905426501e-11,-1.84535917830052,0.221,0.689,8.79524074778813e-07
"RAB8B",1.52393147351893e-10,2.26270379406063,0.494,0.188,3.83863098864683e-06
"XIST",3.51205037815084e-10,-9.26553787844272,0,0.375,8.84650369752414e-06
"STAT4",3.68439854505046e-10,1.45769273477277,0.74,0.451,9.28063149512761e-06
"PTGES3",4.62035295882088e-10,2.99320435639164,0.325,0.075,1.16382070679739e-05
"PTPRC",5.68740878349668e-10,1.07907427998377,0.922,0.765,1.43260139847498e-05
"CYTH1",1.48358854440583e-09,1.44996114044283,0.701,0.423,3.73701118450384e-05
"FNBP1",3.44845919407113e-09,1.66649384020846,0.688,0.471,8.68632386394577e-05
"VPS37B",5.71092171113811e-09,2.65577874625407,0.377,0.123,0.000143852406981858
"HLA-C",1.05345994577867e-08,2.97130974496841,0.286,0.068,0.000265356025742189
"STAG2",1.34978553329675e-08,2.73954311623571,0.273,0.058,0.000339997477982119
"SLC2A3",1.86889250255104e-08,3.15005942175746,0.247,0.048,0.000470755332467582
