"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HSP90AA1",2.69682845796795e-59,15.1982750697642,0.766,0,6.79304120277546e-55
"HSPA1A",1.18036303160714e-33,12.1513649586182,0.455,0,2.97321644031522e-29
"HIST1H2AC",6.95295562703417e-24,12.0554095775033,0.325,0,1.75137999289364e-19
"DNAJB1",1.1669238221525e-34,11.907616629108,0.468,0,2.93936441561993e-30
"UTY",2.97060619853807e-18,10.8509116580358,0.247,0,7.48265995349754e-14
"HSP90AB1",2.48629874723469e-17,10.7538325643544,0.234,0,6.26273791440946e-13
"HSPA8",2.06082678730935e-16,10.7241883155365,0.221,0,5.19101659455353e-12
"HSPE1",2.06076324217035e-16,10.5848589309001,0.221,0,5.1908565307029e-12
"PRKY",1.69172747145585e-15,10.4088456877694,0.208,0,4.26129232785013e-11
"HSPH1",1.66022897514285e-26,7.45398888605267,0.377,0.003,4.18195076548733e-22
