"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HSP90AA1",3.81115732733996e-09,6.55778072129218,0.773,0.051,9.59992419183662e-05
"ATP1B3",4.55639565330898e-09,5.3455850315249,0.818,0.103,0.0001147710501112
"TSIX",2.3004683115982e-08,-8.48292343843006,0,0.821,0.000579464963008471
"XIST",2.32611729076531e-07,-7.92787014009305,0,0.744,0.00585925684370875
"NAMPT",4.35579106576335e-07,8.63072962304122,0.545,0,0.0109718021155513
"HSPH1",4.35579106576335e-07,8.68250470216148,0.545,0,0.0109718021155513
"HIF1A",1.82385886377689e-05,2.50065128379795,0.727,0.205,0.45941180919676
"ELL2",2.7340884213946e-05,5.36489573823373,0.5,0.051,0.688689532465087
"INTS6",4.31942526766073e-05,3.28965314431969,0.591,0.128,1
"NFATC3",4.4030624364265e-05,-6.77538155948666,0,0.538,1
"MBP",5.19053983209028e-05,-4.48959846129419,0.045,0.59,1
"SAT1",5.62481867409491e-05,4.20787156934113,0.545,0.103,1
"ZNF331",6.72215564353982e-05,5.22001281265706,0.5,0.077,1
"USP9Y",6.85959340628076e-05,7.38248301920962,0.364,0,1
"HSPA1A",9.53545126301745e-05,5.58390578723024,0.409,0.026,1
"IKZF1",0.000106113120995655,-1.8252819485131,0.364,0.846,1
"HSP90AB1",0.000115481107135611,4.59477169512784,0.409,0.026,1
"FNIP1",0.000122180459922175,2.3867353269506,0.682,0.256,1
"UTY",0.000223682300656199,7.05785592810953,0.318,0,1
"USP36",0.000276347358066698,3.41161045719271,0.5,0.103,1
"LONRF3",0.000299968582230269,5.40985234972566,0.364,0.026,1
"UHRF2",0.000329435021753784,4.6661824222458,0.364,0.026,1
"TENT4B",0.000404453836107619,2.92363359627717,0.5,0.103,1
"C22orf34",0.000405555213757209,-4.45574882038526,0.045,0.487,1
"HLA-B",0.000521907112649425,4.05085543652696,0.364,0.026,1
"ZSWIM6",0.000551992371035483,1.480975987492,0.682,0.256,1
"IFIH1",0.000709391695288208,6.61934486509299,0.273,0,1
"SKIL",0.000709391695288208,6.09651587703613,0.273,0,1
"DDX21",0.000709391695288208,5.45679898481618,0.273,0,1
"PLAUR",0.000709391695288208,7.23585043969994,0.273,0,1
"CFLAR",0.000749082497531019,-1.82842748038668,0.273,0.718,1
"EZR",0.000751898760139413,2.2456590405223,0.682,0.256,1
"WDR43",0.0010024037919795,5.07992678315629,0.318,0.026,1
"ARHGEF6",0.0010796924216045,-6.29710749190732,0,0.385,1
"HIST1H2AC",0.00109754569906283,5.10917189297373,0.318,0.026,1
"NFE2L2",0.00110978776008523,2.48026347379686,0.591,0.205,1
"CMIP",0.00111945234718394,1.57841069752575,0.864,0.538,1
"SRGN",0.00112726045131147,3.36109864262014,0.409,0.077,1
"MAP3K8",0.0012009799478212,4.45702459911836,0.318,0.026,1
"FKBP5",0.0013034163660292,-1.53844890112121,0.409,0.769,1
"YBX3",0.00131335560109841,3.73488934737615,0.318,0.026,1
"FOSL2",0.00141410566104058,2.69049821441566,0.409,0.077,1
"TAOK1",0.00149243728541582,1.82391237907939,0.636,0.282,1
"NDEL1",0.00156774915517921,3.04034826172676,0.318,0.026,1
"RNMT",0.00156774915517921,3.03880720453804,0.318,0.026,1
"B4GALT1",0.00163459142476516,3.10415849612485,0.455,0.128,1
"APBA2",0.00175042590863295,-6.55234386448848,0,0.359,1
"AC111170.1",0.00175042590863295,-6.13771275986889,0,0.359,1
"SNX9",0.00183539719095145,2.40889627327768,0.5,0.128,1
"RAB31",0.00210495693352592,2.96629886219033,0.545,0.231,1
"HSPA1B",0.00219648300081837,6.35375917599361,0.227,0,1
"RAD51AP1",0.00219648300081837,6.29745390517023,0.227,0,1
"SLC43A2",0.00219648300081837,5.88092575395604,0.227,0,1
"EIF1",0.00219648300081837,5.54275011686661,0.227,0,1
"CALCOCO2",0.00219648300081837,6.26076068138518,0.227,0,1
"DNAJB1",0.00219648300081837,7.52163529311955,0.227,0,1
"TTTY14",0.00219648300081837,5.7068282184209,0.227,0,1
"CHD1",0.00229010544521212,2.27638821994722,0.591,0.308,1
"SLC2A3",0.00238152529954719,2.18770824507252,0.5,0.128,1
"PDE8A",0.00246440655545055,2.3934563663753,0.5,0.179,1
"RAB6A",0.00261127805638887,2.06423596964529,0.545,0.179,1
"COG5",0.0028474939915499,1.85826534560659,0.591,0.256,1
"SYNRG",0.00289634475683096,-2.9524446593039,0.091,0.462,1
"ARHGAP15",0.00300692074571381,-1.54902518339524,0.5,0.821,1
"RBL2",0.00307286533925649,-4.30114671051182,0.045,0.385,1
"PRMT2",0.00327216807992915,-3.51384521787238,0.045,0.385,1
"AC079793.1",0.00327541213279205,-2.20441429038107,0.227,0.641,1
"PPARD",0.00332272988890779,2.56330159739928,0.409,0.103,1
"BCAS3",0.00337170346069284,-1.88027493158236,0.182,0.59,1
"PYHIN1",0.00343154417693981,-2.93081682292849,0.045,0.41,1
"ENOSF1",0.00343154417693981,-2.92347016952892,0.045,0.41,1
"RESF1",0.00344967153101142,-2.41929636832693,0.091,0.462,1
"TOP1",0.00344967153101142,1.89382040916766,0.545,0.205,1
"B2M",0.00348317969522829,1.50657621363741,0.5,0.128,1
"ADAM9",0.00348376584620299,3.59643693095341,0.318,0.051,1
"SPAG9",0.00365448343578776,1.55397730303142,0.545,0.205,1
"NEAT1",0.00376086859621427,1.30037388266537,0.909,0.795,1
"SEC62",0.00385114279965767,3.5858827980782,0.273,0.026,1
"PPP1R15A",0.00385114279965767,3.8686693336891,0.273,0.026,1
"RAB1A",0.00385601264454875,1.48820499720729,0.636,0.282,1
"PLCG2",0.00397351273778494,1.91364180167716,0.591,0.256,1
"RANBP2",0.00398831218210674,3.05283914989767,0.364,0.077,1
"CREM",0.0040624729139533,2.81573071892672,0.409,0.103,1
"CD83",0.00406870649325079,4.20983625262572,0.318,0.051,1
"BOD1L1",0.00419263412550044,-3.44556138312408,0.045,0.385,1
"PTK2B",0.00419637537702361,-2.14801491082242,0.136,0.513,1
"GNA13",0.00420540210197666,2.31060090943736,0.545,0.231,1
"USP4",0.00443373142075001,-5.3789763443816,0,0.308,1
"PPP3CB",0.00443373142075001,-5.67916063905253,0,0.308,1
"NDE1",0.00443373142075001,-5.82599218709867,0,0.308,1
"GGCX",0.00457067910717615,2.95488176645791,0.273,0.026,1
"WDR7",0.00483207343590598,-2.56684173248092,0.136,0.462,1
"RPS6KA5",0.00531748698023073,-2.08759008411342,0.136,0.487,1
"INSYN2B",0.00534215349213333,-3.06338628296419,0.045,0.385,1
"TRA2B",0.00640081582750104,2.45220359386797,0.5,0.205,1
"TRAF3IP3",0.0069372400393562,-5.66531218132115,0,0.282,1
"TRG-AS1",0.0069372400393562,-6.04638934285014,0,0.282,1
"SLC20A2",0.0069372400393562,-5.51746852376831,0,0.282,1
"MTAP",0.0069372400393562,-5.18973083688389,0,0.282,1
"AC008014.1",0.0069372400393562,-6.12219454268908,0,0.282,1
"WASF2",0.00709601676848031,-2.88183146027522,0.091,0.41,1
"PPP2R2A",0.00750256944567635,1.60907280431482,0.5,0.179,1
"PCSK7",0.00760387463948147,-1.31283092463034,0.045,0.385,1
"IQGAP1",0.00772723985514015,-1.38795782026384,0.364,0.667,1
"GCC2",0.00818927222287506,-2.15114563158238,0.091,0.436,1
"RCSD1",0.00821909303435336,-3.07008627537801,0.045,0.359,1
"ST6GAL1",0.00821909303435336,-2.9765619549319,0.045,0.359,1
"RERE",0.00842131372166563,1.06036272761453,0.727,0.487,1
"BRD4",0.00853410007905307,-2.11944684521277,0.182,0.487,1
"TGFBR2",0.00885046634453019,-2.50631780873571,0.091,0.41,1
"ZMYM2",0.00930636527949996,2.12131008275126,0.5,0.231,1
"BBS9",0.00933576325487227,-3.64280082726091,0.045,0.333,1
"ETS1",0.00970556175817873,-1.74491962447699,0.273,0.615,1
"FDFT1",0.0097135356940358,2.76944116033731,0.364,0.103,1
"RHOA",0.0101072223249902,4.88148722560752,0.227,0.026,1
"OLR1",0.0101072223249902,4.82155564128035,0.227,0.026,1
"HNRNPL",0.0101080725254366,1.74960441463836,0.455,0.154,1
"WDFY1",0.0107433722466927,-5.01505977200493,0,0.256,1
"UBXN7",0.0107433722466927,-4.855157300761,0,0.256,1
"PCBD2",0.0107433722466927,-5.62937097757518,0,0.256,1
"AC002463.1",0.0107433722466927,-5.43979363524392,0,0.256,1
"CEP290",0.0107433722466927,-5.65591524237203,0,0.256,1
"AP4E1",0.0107433722466927,-5.00039288788681,0,0.256,1
