"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HSP90AA1",1.89564648541853e-19,12.5663010557694,0.767,0,4.77494393212074e-15
"TSIX",3.65935126826275e-16,-9.93485494447525,0,0.852,9.21753990962705e-12
"NEAT1",8.01598040277683e-14,2.69253012460794,0.93,0.914,2.01914530365546e-09
"B2M",6.75821942343086e-12,4.91349897807699,0.581,0.037,1.702327890568e-07
"SLC2A3",2.77009053099113e-11,5.69754135705559,0.558,0.049,6.97758103851357e-07
"XIST",6.07127623706794e-11,-8.8452440732334,0,0.642,1.52929377135504e-06
"CD83",1.1264754655468e-10,3.57268909999348,0.721,0.222,2.83747905016584e-06
"USP9Y",1.18512521799082e-10,9.38279507843114,0.442,0,2.98521191159707e-06
"SIPA1L1",2.3361919992376e-10,2.61320260293408,0.86,0.617,5.8846340268796e-06
"CCND3",5.72406358589233e-10,-4.52106353992533,0.023,0.642,1.44183437665042e-05
"ATP1B3",7.60406751136277e-10,3.43284843692239,0.605,0.123,1.91538856543717e-05
"GNA13",1.40342909388517e-09,3.4585542378158,0.698,0.259,3.53509754458736e-05
"HSPA1A",1.53114906685575e-09,9.10243462758997,0.395,0,3.85681138450294e-05
"HSPH1",1.53114906685575e-09,9.96757756634799,0.395,0,3.85681138450294e-05
"RAPGEF1",3.77226986301383e-09,1.96575598048986,0.86,0.543,9.50197055794555e-05
"FKBP5",6.56863281096919e-09,-2.28178519681507,0.279,0.815,0.000165457291875503
"SYK",6.929085282151e-09,-3.81318333196574,0.047,0.617,0.000174536729172101
"MALAT1",2.1872921361755e-08,0.782718838345914,1,1,0.000550957016181246
"NAMPT",3.38602456800277e-08,3.0821153075208,0.628,0.198,0.000852905728434218
"ITGA4",3.60978180412349e-08,-3.79362513538363,0.047,0.58,0.000909267938640666
"HLA-DPB1",6.7656641515923e-08,2.04155603262834,0.884,0.679,0.00170420314314459
"HIPK2",9.18008476934414e-08,-3.54368362337149,0.07,0.58,0.0023123715525501
"SYTL3",9.45595319292727e-08,4.37029332781581,0.442,0.062,0.00238186004976645
"TBXAS1",9.93099484176453e-08,-2.04812241990222,0.209,0.728,0.00250151829069207
"NFE2L2",1.08055607971558e-07,2.29011427638169,0.651,0.259,0.00272181270919557
"ARHGAP22",1.51285682777413e-07,-7.85417205930254,0,0.469,0.00381073506348024
"HSP90AB1",2.06157328194506e-07,8.37990191520807,0.302,0,0.00519289693989142
"JUND",2.06157328194506e-07,8.4285679664414,0.302,0,0.00519289693989142
"GSN",2.48950792652293e-07,-7.4247849531886,0,0.457,0.0062708215161186
"PPP1R15A",3.1093202883732e-07,7.10439316286268,0.326,0.012,0.00783206687438325
"FGD2",3.29722223555907e-07,-2.39732993210078,0.07,0.58,0.00830537308914975
"EZR",3.76510307537712e-07,3.74097247155971,0.488,0.111,0.00948391813656742
"UBC",3.9708394697121e-07,5.20827844329626,0.326,0.012,0.0100021475402578
"MYO1F",4.87733630849757e-07,-2.56484434805283,0.163,0.654,0.0122855224274745
"INPP5A",5.89231357503748e-07,3.95002305275984,0.419,0.062,0.0148421486641619
"MARCH1",6.05906467844736e-07,-1.92324149160879,0.163,0.691,0.0152621780185411
"NR4A2",6.13475539432692e-07,3.69002087079158,0.326,0.012,0.0154528353627701
"C22orf34",6.51878511184034e-07,-3.00904310703636,0.047,0.519,0.0164201678182146
"FAM160A1",6.73689997363518e-07,8.58424840886267,0.279,0,0.0169695773435897
"TTTY14",6.73689997363518e-07,8.88023230895972,0.279,0,0.0169695773435897
"FTH1",7.13196754790887e-07,3.62623209069458,0.395,0.049,0.0179647130564277
"DOCK10",8.68161589386301e-07,-1.41836049202194,0.349,0.889,0.0218681222750515
"PALD1",9.11102673108068e-07,-3.92797544316666,0.047,0.494,0.0229497652329191
"PDE4A",1.31906106699356e-06,3.18273446393515,0.465,0.099,0.0332258292165007
"HIF1A",1.63073016875126e-06,3.32544627913736,0.628,0.309,0.0410764622206755
"APBB1IP",1.66788139365154e-06,-2.98543167765418,0.093,0.543,0.0420122644246886
"FTX",1.96141297899324e-06,-1.60935055272353,0.279,0.79,0.0494060315278608
"NEGR1",2.69749159556649e-06,-8.08254398751823,0,0.395,0.0679471158007243
"SAT1",2.71278331420037e-06,2.55959147230864,0.651,0.333,0.068332298901393
"LCP2",3.23070814497926e-06,-2.3998928909552,0.047,0.481,0.0813783074638826
"RGS2",3.92651708981787e-06,4.81713405575131,0.349,0.049,0.0989050389754223
"CPB2-AS1",4.25586385795596e-06,-7.22136191508953,0,0.383,0.107200954718053
"SPTLC2",4.25586385795596e-06,-6.63213263513827,0,0.383,0.107200954718053
"ZNF331",4.76925239696161e-06,5.12171134407113,0.326,0.037,0.120132698627066
"SLC8A1",5.76640486109938e-06,-1.34017413021085,0.535,0.864,0.145249972046232
"LRRC8D",6.67068197084066e-06,-7.16281633819479,0,0.37,0.168027808163505
"GTDC1",6.67068197084066e-06,-7.32333609780579,0,0.37,0.168027808163505
"FMN1",6.86633816601654e-06,-2.72493959174524,0.093,0.519,0.172956192063791
"HSPA8",6.87758766979899e-06,8.35739969845501,0.233,0,0.173239555814567
"TUBA1A",6.87758766979899e-06,8.38515179533001,0.233,0,0.173239555814567
"DNAJB1",6.87758766979899e-06,7.96540607980495,0.233,0,0.173239555814567
"FAF1",7.68445636125719e-06,-1.99785080069945,0.093,0.556,0.193563771283707
"CARMIL1",7.76796943968323e-06,-1.76622525883308,0.163,0.642,0.195667382216181
"INSIG1",1.13061558860547e-05,5.71423626030007,0.256,0.012,0.284790760613833
"CYTIP",1.13891089578149e-05,3.33999069083232,0.535,0.247,0.2868802655384
"HIST1H2AC",1.2865187582512e-05,3.1793378632507,0.395,0.086,0.324061210015895
"IKZF1",1.44147452248416e-05,-2.07910027990598,0.163,0.605,0.363093017468534
"PFKFB3",1.47391465696793e-05,1.79526791657341,0.651,0.37,0.371264362943651
"CDK6",1.6078106638672e-05,-6.90136978442983,0,0.346,0.404991428121508
"FOSL2",1.66179497479921e-05,3.94771267739209,0.326,0.049,0.418589536202174
"NR4A1",1.82768177896484e-05,3.23252921082554,0.372,0.074,0.460374763303453
"PLXNC1",1.96121704651254e-05,-2.47729486343038,0.093,0.494,0.494010961846044
"ARF1",2.15246985996051e-05,7.6913025592324,0.209,0,0.542185633025453
"STAT4",2.15246985996051e-05,7.55480783481075,0.209,0,0.542185633025453
"VEGFA",2.15246985996051e-05,7.80070129307066,0.209,0,0.542185633025453
"AC008014.1",2.24816516844584e-05,-3.71263986859218,0.023,0.383,0.566290324279823
"SPI1",2.57794658473546e-05,-3.31947003622756,0.047,0.42,0.649358965229014
"EIF4G3",2.64724751481837e-05,-2.04598290169872,0.116,0.519,0.666815176507599
"ITFG1",2.64872992999926e-05,-2.32251069798495,0.093,0.494,0.667188582067514
"TBC1D22A",2.69861883208455e-05,-1.35470818614346,0.442,0.802,0.679755097613776
"SRGAP2",2.70074657303161e-05,-2.51013567400723,0.093,0.481,0.680291054280932
"MS4A6A",2.80662174645439e-05,-1.99545210327757,0.14,0.543,0.706959951714395
"ATF7IP",3.19157441694535e-05,-1.82984569842631,0.14,0.568,0.803925679884364
"TMEM131L",3.37954249710451e-05,-1.89380307993111,0.047,0.432,0.851272959595654
"GLYATL1",3.78099399413023e-05,-6.76733536144937,0,0.321,0.952394577181464
"RAP1GDS1",3.78120414158992e-05,-6.86408398541005,0,0.321,0.952447511225086
"HDAC8",3.90126333885929e-05,-3.05495948231249,0.047,0.407,0.982689222425266
"NDEL1",3.91112434679544e-05,4.43832992599561,0.326,0.062,0.985173111714304
"AOAH",3.93665410775733e-05,-1.52536319437825,0.233,0.654,0.991603803202993
"ST6GAL1",4.0142780027174e-05,-1.57189701274971,0.14,0.58,1
"SRGAP1",4.04680190384473e-05,-1.89733477451152,0.186,0.593,1
"HSPD1",4.0555492120163e-05,4.05514763090684,0.326,0.062,1
"GPR183",4.09259383212351e-05,2.94430879263826,0.442,0.16,1
"FLI1",4.31132409769682e-05,-1.82941414990719,0.186,0.605,1
"TBC1D9",4.5001656411187e-05,-2.93153843779062,0.047,0.407,1
