"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TSIX",1.11326527140754e-138,-10.1389746734134,0.002,0.777,2.80420389214844e-134
"XIST",1.68360714616006e-123,-12.7013502893262,0,0.718,4.24083804046259e-119
"NR4A1",2.42549703322865e-113,6.43703205872474,0.565,0.017,6.10958447699964e-109
"SAMD4A",1.69744213367349e-107,2.61482110963899,0.876,0.435,4.27568699051017e-103
"THBS1",2.84479595547003e-91,4.09556071631341,0.563,0.063,7.16575653223345e-87
"NAMPT",9.3839708935066e-82,4.56334714868364,0.548,0.088,2.36372842836538e-77
"HSPA1A",2.08674945894705e-80,9.80780879474519,0.4,0.001,5.25631321214171e-76
"LAMB1",6.11518050930248e-69,-2.44478130971861,0.252,0.728,1.5403528184882e-64
"HSP90AA1",2.5073878795647e-61,7.77699059603993,0.322,0.004,6.31585932983552e-57
"USP9Y",2.93365572062691e-58,11.490434520595,0.297,0,7.38958539468712e-54
"SCN7A",6.29597758327575e-54,-1.80884837515043,0.342,0.74,1.58589379345133e-49
"TTTY14",6.56661537084486e-54,11.5365263668742,0.276,0,1.65406474576211e-49
"UTY",8.16850414023286e-54,8.16435890924392,0.282,0.003,2.05756450788325e-49
"NR4A3",2.61946610360781e-52,8.96081835104092,0.272,0.001,6.59817316837772e-48
"BHLHE40",6.53519727389334e-52,9.22604690843711,0.27,0.001,1.64615084132099e-47
"ZBTB16",2.53855176877188e-49,-1.08347881094056,0.674,0.94,6.39435805035948e-45
"SLC2A3",4.52430996296409e-48,9.56428184006622,0.252,0.001,1.13962843657102e-43
"UBC",1.17598110966113e-46,6.34955939397574,0.256,0.005,2.96217881712542e-42
"PTK2",8.80292091991152e-45,2.24978821954054,0.509,0.17,2.21736775051651e-40
"LITAF",1.01575110968744e-43,3.72435032058278,0.379,0.079,2.55857547019169e-39
"RFX2",9.01586558790672e-43,-3.06614701311091,0.068,0.431,2.27100638293782e-38
"UGCG",7.52911979163573e-42,4.10953340682216,0.315,0.045,1.89650998431512e-37
"FKBP5",1.91788961538794e-39,-1.73667635086138,0.28,0.644,4.83097215220069e-35
"MOB3B",2.90103598948918e-38,-5.92795927396275,0.006,0.3,7.30741955392431e-34
"PTGS2",5.10384348741693e-38,5.17325648119724,0.233,0.013,1.28560713604545e-33
"COL4A1",6.31191798644261e-38,2.00930992466849,0.571,0.27,1.58990902160503e-33
"SPTBN1",1.20191821155073e-37,-1.33227823114487,0.489,0.78,3.02751178307514e-33
"GEM",8.41633231864051e-37,3.38690674617335,0.322,0.059,2.11998994774236e-32
"RTN4",1.35884319946225e-36,1.91721351633641,0.571,0.282,3.42279013512546e-32
"FAM13A",1.44767502527788e-36,-2.43743131774796,0.074,0.404,3.64654862117246e-32
"CBLB",3.5910488996972e-36,1.75188989366625,0.652,0.4,9.04549307344726e-32
"HIVEP2",2.67376449737091e-35,1.86036833735439,0.528,0.225,6.73494539242758e-31
"ELL2",2.99912641891068e-35,2.38133678010097,0.532,0.247,7.55449953659412e-31
"ACTB",3.71182900569689e-35,5.40884145488831,0.206,0.008,9.34972608244989e-31
"SH3D19",4.05719555960382e-35,-1.38840114825547,0.373,0.71,1.02196698950861e-30
"MAMDC2",8.83979217621341e-35,-1.73217018617762,0.287,0.618,2.2266552512664e-30
"IQCJ-SCHIP1",2.42557510302992e-34,5.72982052891232,0.204,0.009,6.10978112702207e-30
"THBS2",4.48780376929778e-34,4.31293670253247,0.245,0.027,1.13043289144842e-29
"MAMDC2-AS1",1.30034084883863e-33,-3.08690503618383,0.047,0.344,3.27542856413962e-29
"CRISPLD2",1.90380984582837e-33,1.9036124571427,0.581,0.302,4.79550662065708e-29
"IL16",2.91703376957442e-33,-1.99538747078284,0.144,0.477,7.34771636218101e-29
"NPNT",1.36293890120449e-32,-2.00283423522569,0.169,0.492,3.433106798244e-28
"HIF1A",1.56337631810913e-31,3.15356155678569,0.338,0.093,3.93798860768508e-27
"ABCA6",2.39066847050907e-31,-1.58272437263747,0.26,0.584,6.0218548103653e-27
"ARID5B",7.14990071254044e-31,2.02545362927975,0.47,0.196,1.80098849048181e-26
"NEAT1",5.89720993740526e-30,0.908146816313334,0.93,0.898,1.48544821113301e-25
"ITGBL1",1.54568077241584e-28,-2.11067278510967,0.155,0.452,3.89341529763827e-24
"ZEB2",3.07365612784278e-28,-1.34542299134742,0.295,0.613,7.74223242042318e-24
"SAMHD1",3.91265348278645e-28,-1.2717776786705,0.371,0.663,9.85558285779078e-24
"EPAS1",5.75505470683521e-28,3.46087815593369,0.2,0.019,1.44964073010472e-23
"EEF2K",9.1282217261611e-28,-2.84818782396086,0.049,0.308,2.29930777060272e-23
"AC025159.1",2.41575270038333e-27,-2.51435807909643,0.066,0.331,6.08503947699558e-23
"ATP1B3",8.70479909786849e-27,4.65762967280014,0.206,0.027,2.19265184476209e-22
"PDE4D",1.8893878978337e-26,2.11489233883938,0.466,0.22,4.75917917585331e-22
"IL1R1",4.65691711070706e-26,3.11861899145388,0.315,0.098,1.173030851016e-21
"PDLIM3",5.21925244465019e-26,1.92714084790576,0.511,0.281,1.31467749828294e-21
