"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NAMPT",5.9633392314354e-19,11.408964343635,0.5,0,1.50210551900626e-14
"EZR",6.33286624463878e-13,10.6824459174649,0.333,0,1.59518567836206e-08
"VEGFA",5.93634458679322e-11,10.5391295691728,0.278,0,1.49530583796734e-06
"SLC7A5",6.33286624463878e-13,10.5369784560044,0.333,0,1.59518567836206e-08
"B2M",6.49201963161765e-15,10.2636068261207,0.389,0,1.63527482500817e-10
"HSP90AA1",5.93634458679322e-11,10.2620898624115,0.278,0,1.49530583796734e-06
"IFI44L",5.38102232540105e-09,10.1330864230812,0.222,0,0.000135542571354527
"OSBPL6",5.93634458679322e-11,9.86453830902122,0.278,0,1.49530583796734e-06
"ATP1B3",3.13818596636563e-25,7.31902461313408,0.944,0.06,7.90477663067839e-21
"BIRC3",7.73785635384685e-08,6.89789292363371,0.278,0.013,0.00194908863697048
