"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HSP90AA1",2.04253414136078e-07,9.46275367147915,0.568,0,0.00514493924867366
"HSPA1A",3.7116973273144e-05,8.08665954483817,0.407,0,0.934939439777225
"ZNF385D",2.58298787021462e-05,8.05854701662453,0.42,0,0.650628814628362
"SLC2A3",0.000149619540365001,7.68537395329584,0.358,0,1
"UTY",0.000291027588239312,7.35419740853118,0.333,0,1
"MGAT4C",0.0034532249163088,7.1035633372678,0.235,0,1
"AC119673.2",0.0034532249163088,6.88056879149894,0.235,0,1
"USP9Y",0.00461725562381387,6.87686311437382,0.222,0,1
"GJA1",0.00257287403582076,6.81705153406337,0.247,0,1
"PTPN11",0.00461725562381387,6.81679527725259,0.222,0,1
