"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TSIX",4.50715931252048e-07,-8.32823170682667,0,0.783,0.0113530835923078
"XIST",1.46262073090735e-06,-7.40858505813774,0,0.739,0.0368419535908251
"HSP90AA1",2.92827074593652e-06,5.61190388308267,0.611,0.087,0.0737602118193949
"UTY",9.7310212469487e-06,7.29168836404858,0.389,0,0.245114694189391
"TTTY14",9.7310212469487e-06,7.49585751998694,0.389,0,0.245114694189391
"NEAT1",2.14551269369774e-05,2.07589998697294,1,0.891,0.540433192415523
"NR4A1",2.47353522988189e-05,3.41311480632412,0.611,0.13,0.62305878905495
"ZFP36",2.53340643691819e-05,3.11072841969929,0.444,0.022,0.638139747395322
"PDE4D",3.0106679019066e-05,1.77178747608124,0.889,0.435,0.758357137811253
"HSPA1A",4.90909327485723e-05,7.09539171499376,0.333,0,1
"HSPA1B",4.90909327485723e-05,6.47293373359749,0.333,0,1
"MINDY2",0.000221583009671196,4.50780108377844,0.389,0.043,1
"IFI44L",0.000238934190715553,7.50758457494617,0.278,0,1
"QSOX1",0.000238934190715553,6.73333140076083,0.278,0,1
"PRSS23",0.000238934190715553,6.51415357543813,0.278,0,1
"ADAMTS1",0.000238934190715553,7.31398848917958,0.278,0,1
"TGFBR2",0.00029017120941097,-2.86111956234738,0.111,0.674,1
"MTCH1",0.000290213661085292,5.62314925300287,0.333,0.022,1
"PIP5K1C",0.000290213661085292,5.27995696793567,0.333,0.022,1
"THBS1",0.000322745393112239,5.24903673981704,0.333,0.022,1
"SLC2A3",0.000384399735738588,3.27356430048883,0.5,0.109,1
"JUND",0.00046953221449127,3.26733066741822,0.444,0.087,1
"SORBS1",0.000493497116672988,2.62536788284148,0.667,0.304,1
"NAMPT",0.000562620701585029,3.3950976553314,0.5,0.13,1
"UBE2H",0.00109089654363607,2.39524806118583,0.667,0.304,1
"GTF2IRD1",0.00111505733693985,2.71663287460953,0.5,0.152,1
"ESRRG",0.00112893481598078,7.65542473365362,0.222,0,1
"COL6A3",0.00112893481598078,6.36129548974395,0.222,0,1
"ZNF736",0.00112893481598078,6.14186966037959,0.222,0,1
"ANGPT1",0.00112893481598078,6.57498895131698,0.222,0,1
"PTGDS",0.00112893481598078,7.7229696682912,0.222,0,1
"MAP3K8",0.00112893481598078,6.44648211295669,0.222,0,1
"FUT11",0.00112893481598078,6.16000583837404,0.222,0,1
"IFITM3",0.00112893481598078,6.92250973189994,0.222,0,1
"CEBPB",0.00112893481598078,6.02572273264527,0.222,0,1
"MX2",0.00112893481598078,5.46538420088972,0.222,0,1
"LRRC8B",0.00132941990090438,4.14278033526981,0.333,0.043,1
"FAM118A",0.00142826444848053,4.63152494016262,0.278,0.022,1
"PPP1R15A",0.00158121068875398,4.11731884098925,0.278,0.022,1
"AKAP12",0.00167507743142012,2.61135907481423,0.389,0.065,1
"WSB1",0.00170502692047296,1.31990672858652,0.778,0.565,1
"FGFR1",0.0017386415179588,2.97036599233183,0.333,0.043,1
"BACE2",0.0017386415179588,3.4267006621076,0.333,0.043,1
"HSPB1",0.00174911004544286,3.85069390505747,0.278,0.022,1
"RPL8",0.00174911004544286,3.97479740868341,0.278,0.022,1
"SLC38A2",0.00176451362093317,1.97122921272452,0.5,0.13,1
"EGR1",0.00213506965299402,3.09981536091296,0.278,0.022,1
"ELL2",0.0024261811789038,3.41096284404093,0.389,0.087,1
"CHD1",0.00249360338419041,2.58052200393715,0.5,0.152,1
"CDKAL1",0.00289095086335196,-3.31069483489939,0.111,0.5,1
"GNAI2",0.00377818024567854,2.51736040253127,0.389,0.087,1
"ACTB",0.00406083482578059,2.58571269710615,0.389,0.087,1
"HPCAL1",0.00419688343422576,-2.21148148005474,0.111,0.522,1
"RB1CC1",0.00428944568684563,1.82271221939587,0.556,0.196,1
"ZNF331",0.00432872639262496,3.42011756121959,0.333,0.065,1
"CCBE1",0.00436262355380133,3.5891297269221,0.389,0.109,1
"LINC00513",0.00457858973081487,-3.20274174602325,0.056,0.435,1
