"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PTGDS",0.00112893481598078,7.7229696682912,0.222,0,1
"ESRRG",0.00112893481598078,7.65542473365362,0.222,0,1
"IFI44L",0.000238934190715553,7.50758457494617,0.278,0,1
"TTTY14",9.7310212469487e-06,7.49585751998694,0.389,0,0.245114694189391
"ADAMTS1",0.000238934190715553,7.31398848917958,0.278,0,1
"UTY",9.7310212469487e-06,7.29168836404858,0.389,0,0.245114694189391
"HSPA1A",4.90909327485723e-05,7.09539171499376,0.333,0,1
"IFITM3",0.00112893481598078,6.92250973189994,0.222,0,1
"QSOX1",0.000238934190715553,6.73333140076083,0.278,0,1
"ANGPT1",0.00112893481598078,6.57498895131698,0.222,0,1
