"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TSIX",4.10241292144456e-16,-10.8431628348917,0,0.873,1.03335679078267e-11
"XIST",4.85810699732661e-13,-9.9007949042414,0,0.745,1.2237085715566e-08
"MALAT1",2.77016474602834e-10,0.748697899333843,1,1,6.97776797877078e-06
"B2M",1.84650015303174e-09,4.92929080157075,0.609,0.073,4.65114923547164e-05
"EZR",3.89948664799394e-09,3.74237444573873,0.674,0.164,9.82241691763192e-05
"HSP90AA1",4.4152674755484e-09,10.2383582145799,0.5,0,0.000111216172441589
"RAPGEF1",3.81356493397255e-08,1.92432730974058,0.848,0.491,0.000960598871218345
"LRRK1",8.7546616064748e-08,-2.72171952381634,0.13,0.673,0.00220521171205494
"SMCHD1",1.99514711486816e-07,2.21449119535793,0.848,0.655,0.00502557606764141
"NEAT1",2.57883614028405e-07,1.16041981336699,1,0.964,0.00649583035376148
"SYTL3",4.31220712929565e-07,8.89415209208948,0.391,0,0.0108620185379828
"UPF2",1.01604664633886e-06,2.17319257386719,0.717,0.327,0.0255931989746296
"ATP1B3",1.02754054483823e-06,10.6352656822416,0.37,0,0.0258827187839302
"CREB3L2",1.21493062365667e-06,-1.85154573829981,0.391,0.818,0.0306028874792878
"TXNIP",1.60874043637099e-06,-2.92734564404538,0.109,0.564,0.0405225628517489
"STAP1",1.9457219564136e-06,6.54055115388694,0.413,0.036,0.0490107903601021
"WWOX",1.94629215588903e-06,-1.60318201476115,0.348,0.836,0.0490251531146888
"MAML2",2.15408765446082e-06,-2.97320364343497,0.065,0.527,0.0542593139282136
"GLCCI1",3.41064196016808e-06,-2.13605525232642,0.261,0.745,0.0859106603346738
"DEPTOR",3.50429034473272e-06,-7.94098910845197,0,0.382,0.0882695694934724
"FCHSD2",5.08107267528924e-06,1.56722177536734,0.848,0.636,0.127987139617861
"JUND",5.58162938202836e-06,8.64333511010151,0.326,0,0.140595662503912
"GMDS-DT",6.15368222450671e-06,-1.75303500895408,0.261,0.727,0.155005101553099
"CLMN",6.70205632823403e-06,-7.65208329824977,0,0.364,0.168818096851887
"IGHA1",7.51018190049239e-06,-2.57666712919361,0.326,0.727,0.189173971891503
"PTK2B",1.07856870673693e-05,-1.99966787271177,0.196,0.636,0.271680671539965
"LIMD1",1.26743326381272e-05,-7.38711361868884,0,0.345,0.319253764821787
"ALDH1L2",1.26759185767304e-05,-7.37246610580207,0,0.345,0.319293713029262
"PLCG2",1.7017198186382e-05,1.80748540901692,0.761,0.527,0.428646205116777
