"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NR4A1",4.34336996582906e-13,9.2251256204297,0.652,0,1.09405146069268e-08
"SLC2A3",1.15042726503684e-08,8.4955145118983,0.455,0,0.000289781123790131
"HSPA1A",2.32186446047743e-08,8.29760861002237,0.439,0,0.000584854438949661
"TTTY14",9.1652491736188e-08,7.81194503622969,0.409,0,0.00230863461434284
"UTY",4.45221769929143e-06,7.5040148743244,0.318,0,0.112146911627452
"JUNB",1.26682344022388e-06,7.40155654011986,0.348,0,0.0319100156357993
"NR4A3",1.26693312602034e-06,7.40028675751997,0.348,0,0.0319127785113263
"IFRD1",1.51059435345977e-05,7.35309241299527,0.288,0,0.380503611692981
"USP9Y",6.66603239594507e-07,7.32305865450974,0.364,0,0.016791069002146
"HSP90AA1",1.86263063328658e-10,7.17019054170247,0.591,0.054,4.69178030218556e-06
