"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ATP1B3",1.02754054483823e-06,10.6352656822416,0.37,0,0.0258827187839302
"HSP90AA1",4.4152674755484e-09,10.2383582145799,0.5,0,0.000111216172441589
"SYTL3",4.31220712929565e-07,8.89415209208948,0.391,0,0.0108620185379828
"JUND",5.58162938202836e-06,8.64333511010151,0.326,0,0.140595662503912
"TYMP",2.86796075767661e-05,8.09562011202289,0.283,0,0.722410635251162
"HIP1",0.000304182159192347,7.78369930722291,0.217,0,1
"STAP1",1.9457219564136e-06,6.54055115388694,0.413,0.036,0.0490107903601021
"SAMSN1",0.000250051808298877,6.11264804170719,0.261,0.018,1
"XAF1",0.0012192297984843,5.32547255612686,0.217,0.018,1
"TBXAS1",0.000169554638847435,5.00948032894928,0.304,0.036,1
