"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"XIST",3.7629699551466e-14,-9.74731213950109,0,0.643,9.47854502001878e-10
"ZBTB16",2.43899431765339e-13,-1.84040682591437,0.697,0.964,6.14358278673711e-09
"NR4A1",4.34336996582906e-13,9.2251256204297,0.652,0,1.09405146069268e-08
"TSIX",8.68538452077995e-13,-10.1354678731861,0,0.589,2.18776150693926e-08
"COL4A1",1.64283170073316e-10,2.50826586036073,0.848,0.411,4.13812877097675e-06
"HSP90AA1",1.86263063328658e-10,7.17019054170247,0.591,0.054,4.69178030218556e-06
"LMOD1",8.82657985884189e-10,-3.00277149894821,0.227,0.732,2.22332720064368e-05
"ATP1B3",1.24553519611311e-09,6.2324708664793,0.53,0.018,3.13737860548931e-05
"CRISPLD2",1.58493630838958e-09,3.26306810126612,0.682,0.125,3.9922960672025e-05
"NEAT1",4.90727100552559e-09,1.47447886070938,0.97,0.804,0.000123609249358184
"SYNPO2",5.75176129921497e-09,-2.39343660830727,0.288,0.768,0.000144881115365926
"NAMPT",8.53670646963088e-09,4.40492832644535,0.561,0.071,0.000215031099263532
"SLC2A3",1.15042726503684e-08,8.4955145118983,0.455,0,0.000289781123790131
"ADAMTS1",2.12252685512321e-08,3.52931190814676,0.621,0.143,0.000534643289536984
"THBS1",2.2266165178677e-08,7.09389112544743,0.485,0.036,0.000560862434685696
"HSPA1A",2.32186446047743e-08,8.29760861002237,0.439,0,0.000584854438949661
"AKAP12",5.1469585044816e-08,2.15365019192139,0.712,0.268,0.00129646737769387
"TTTY14",9.1652491736188e-08,7.81194503622969,0.409,0,0.00230863461434284
"LGR6",9.89236153493201e-08,-4.47856345273193,0.045,0.446,0.00249178694703402
"CHD1",6.1215854656369e-07,3.01928932756171,0.515,0.089,0.0154196616293928
"USP9Y",6.66603239594507e-07,7.32305865450974,0.364,0,0.016791069002146
"SERPINE1",7.67775628453678e-07,5.6220256295305,0.455,0.071,0.0193395003051197
"ACTB",1.06958842619312e-06,4.5291196070818,0.455,0.071,0.0269418628673786
"JUNB",1.26682344022388e-06,7.40155654011986,0.348,0,0.0319100156357993
"NR4A3",1.26693312602034e-06,7.40028675751997,0.348,0,0.0319127785113263
"CHSY1",1.52504006812374e-06,3.46931910053238,0.439,0.054,0.0384142342759689
"C8orf34",1.72759291352198e-06,-8.49963980982774,0,0.304,0.0435163378987052
"PRKCH",1.88584738565727e-06,3.36551721274621,0.5,0.125,0.0475026097973209
"CARMN",2.07085999021281e-06,-1.27720894509664,0.348,0.786,0.0521628922934704
"HSP90AB1",2.15031318124563e-06,6.09043597099929,0.364,0.018,0.0541642387223961
"SAMD4A",2.28286945507089e-06,2.436045567464,0.652,0.268,0.0575031987037807
"ITGB1",2.50742826436765e-06,2.12063051495963,0.545,0.143,0.0631596105511568
"FNDC3B",2.81504365583813e-06,1.71287797768117,0.727,0.375,0.0709081346469066
"PITPNC1",2.82874095330082e-06,3.59835927108721,0.47,0.107,0.0712531558726945
"PDZRN3",2.83270111039992e-06,-2.31057828233778,0.364,0.679,0.0713529082698635
"DUSP1",2.84478610700043e-06,3.83936953572459,0.455,0.089,0.0716573172492338
"PLCL1",3.51839871380878e-06,-2.8967546950817,0.182,0.554,0.0886249452021294
"SMOC2",3.83707393273909e-06,-7.83337594332654,0,0.286,0.0966520552917649
"EPAS1",4.15209541932534e-06,1.88837149054997,0.621,0.196,0.104587131517386
"TCIM",4.33008201219683e-06,5.60250508716324,0.394,0.054,0.109070435805226
"UTY",4.45221769929143e-06,7.5040148743244,0.318,0,0.112146911627452
"ST6GALNAC3",6.039743182179e-06,2.94440369463105,0.47,0.107,0.152135091015907
"TGM2",6.13071287100407e-06,2.52080266803768,0.545,0.161,0.154426526507721
"SPAG9",7.99105257152594e-06,2.32408719925055,0.53,0.161,0.201286623224167
"EIF1",8.23598612361735e-06,6.72793475893315,0.303,0,0.207456254467797
"GNG12-AS1",8.4298161706002e-06,-7.56320176992064,0,0.268,0.212338639521249
"ETS2",1.04316844623488e-05,4.92373030997517,0.379,0.054,0.262763699922104
"MACF1",1.10583195554026e-05,1.17271687574442,0.894,0.732,0.278548011281037
"HIF1A",1.1273827798071e-05,2.24759598252498,0.53,0.143,0.28397644840561
"PDE8A",1.42306603239324e-05,1.79969412915298,0.515,0.125,0.358456102899534
"ATF3",1.48711356300562e-05,6.41471651766172,0.318,0.018,0.374589035385487
"CYTH1",1.48711356300562e-05,6.35347572352024,0.318,0.018,0.374589035385487
