"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HSP90AA1",2.06163980198926e-07,10.8903448765312,0.6,0,0.00519306449723074
"AKT3",1.69861017830613e-06,3.7958519539538,0.8,0.122,0.0427862917813531
"HSPA1A",2.73966549166919e-06,9.45758767954902,0.5,0,0.0690094340696553
"VPS37B",2.45878531385368e-05,5.633912343018,0.5,0.024,0.619343432706604
"GPBP1",2.72024969025678e-05,3.17742435639753,0.8,0.195,0.68520369447878
"RPS7",0.00038754700173989,7.79627474252497,0.3,0,1
"B2M",0.00038754700173989,8.38175829054926,0.3,0,1
"PRKY",0.00038754700173989,7.83237693550291,0.3,0,1
"SARAF",0.00056443128221392,3.92574518742373,0.5,0.073,1
"TSIX",0.000748450233610377,-7.29247870991922,0,0.659,1
"ZYG11B",0.0013694666294488,4.41706729102713,0.4,0.049,1
"THOC2",0.00183188490030987,3.56845416115558,0.4,0.049,1
"PPP4R3A",0.00211666517296706,2.57605143619496,0.5,0.073,1
"BCL11B",0.00259557588462618,-3.39542318640433,0.1,0.659,1
"PICALM",0.00291743881904188,1.53442775540182,0.9,0.512,1
"AAK1",0.00293339941459591,-3.02369837434319,0.1,0.659,1
"ELAVL1",0.00343125027755788,4.25576298236441,0.3,0.024,1
"RNPC3",0.00343461126456365,4.18279915141506,0.3,0.024,1
"PCF11",0.00343461126456365,4.76735644482489,0.3,0.024,1
"CLEC2B",0.00343461126456365,5.12648985269928,0.3,0.024,1
"STX2",0.00343461126456365,4.07172253070903,0.3,0.024,1
"ARID5B",0.00344705575266319,1.78531011257346,0.8,0.488,1
"SLC2A3",0.00403984505251815,4.06398013109309,0.4,0.073,1
"TENT5C",0.00427950098052777,7.28647638329961,0.2,0,1
"FANCL",0.00427950098052777,7.04819076441159,0.2,0,1
"STARD7",0.00427950098052777,7.09394948343626,0.2,0,1
"ANKRD23",0.00427950098052777,7.0611458204397,0.2,0,1
"HSPD1",0.00427950098052777,7.15555323070842,0.2,0,1
"HSPE1",0.00427950098052777,7.87981360256226,0.2,0,1
"NGLY1",0.00427950098052777,7.0611458204397,0.2,0,1
"TAFA1",0.00427950098052777,7.41414717806497,0.2,0,1
"KLF3",0.00427950098052777,7.60236287563899,0.2,0,1
"OCIAD2",0.00427950098052777,7.24861243760107,0.2,0,1
"HIST1H2AC",0.00427950098052777,7.46875465653104,0.2,0,1
"GINM1",0.00427950098052777,7.28647638329961,0.2,0,1
"CYTH3",0.00427950098052777,7.16071298374641,0.2,0,1
"ZC2HC1A",0.00427950098052777,7.28647638329961,0.2,0,1
"SLC25A32",0.00427950098052777,6.8836491252033,0.2,0,1
"DDIT4",0.00427950098052777,7.55904128253787,0.2,0,1
"AQP11",0.00427950098052777,7.2974665512907,0.2,0,1
"FDX1",0.00427950098052777,7.04261165911268,0.2,0,1
"CALCOCO1",0.00427950098052777,7.51307258600182,0.2,0,1
"AC009522.1",0.00427950098052777,7.93521868535426,0.2,0,1
"NUDT4",0.00427950098052777,7.4581239129719,0.2,0,1
"LRP10",0.00427950098052777,7.2974665512907,0.2,0,1
"CYFIP1",0.00427950098052777,7.0611458204397,0.2,0,1
"GOLGA8A",0.00427950098052777,7.2974665512907,0.2,0,1
"PPP4C",0.00427950098052777,7.04819076441159,0.2,0,1
"UBB",0.00427950098052777,7.39965607109516,0.2,0,1
"LRRC37A2",0.00427950098052777,7.30214370270035,0.2,0,1
"TOB1",0.00427950098052777,7.04819076441159,0.2,0,1
"SRSF2",0.00427950098052777,7.60236287563899,0.2,0,1
"EIF4A3",0.00427950098052777,6.86898935031508,0.2,0,1
"RASAL3",0.00427950098052777,8.08521776470351,0.2,0,1
"FAM118A",0.00427950098052777,8.04442096655274,0.2,0,1
"STAG2",0.00427950098052777,7.04819076441159,0.2,0,1
"SH2D1A",0.00427950098052777,7.16071298374641,0.2,0,1
"UTY",0.00427950098052777,7.30214370270035,0.2,0,1
"SMURF2",0.00517838704403756,3.20868973337986,0.4,0.073,1
"STXBP4",0.00585010674301012,2.91585993438101,0.4,0.073,1
"FLI1",0.00629434879148152,-2.78248289241773,0.1,0.634,1
"MAP4K4",0.00643104510819558,2.39583676032645,0.6,0.244,1
"SMCHD1",0.00686179993480727,1.42963134894763,0.9,0.659,1
"XIST",0.00735190157928775,-6.43285759341325,0,0.488,1
"SEPTIN7",0.00919129421749772,3.04289243644193,0.4,0.098,1
"SEPTIN6",0.0097824300823212,-6.17307614071151,0,0.463,1
"TM9SF3",0.0108145154035396,2.82992922996397,0.4,0.098,1
"PARP12",0.0126927639126754,2.72059698443756,0.4,0.098,1
"YWHAB",0.0126927639126754,2.652869197597,0.4,0.098,1
"RAP1GDS1",0.0129008433566523,-6.17599245724168,0,0.439,1
"GYG1",0.0130412941255312,3.77348232381708,0.3,0.049,1
"APTX",0.0130412941255312,3.68351488483446,0.3,0.049,1
"TLE4",0.0130412941255312,3.12213888766775,0.3,0.049,1
"PER1",0.0130412941255312,3.48531905599915,0.3,0.049,1
"FAAH2",0.0130412941255312,3.23171659636052,0.3,0.049,1
"ANKIB1",0.0131988952605008,2.19608318803215,0.5,0.195,1
"MAN2A1",0.0140909667515095,2.09544197701793,0.4,0.098,1
"WSB1",0.0140909667515095,2.42973884805527,0.4,0.098,1
"PDE3B",0.0146577793970254,2.28012160272292,0.5,0.171,1
"PIGK",0.0148234117458576,3.31143250669354,0.3,0.049,1
"FBXL4",0.0148234117458576,4.26001564281201,0.3,0.049,1
"MAP4K3",0.0156352828306476,2.42999069309586,0.4,0.098,1
"ARHGDIB",0.0168167441304336,2.73897786364301,0.3,0.049,1
"JAK1",0.0168693462563361,-6.01001803649691,0,0.415,1
"ZNF638",0.0168693462563361,-5.98781575219696,0,0.415,1
"MKLN1",0.0168693462563361,-5.99877525758946,0,0.415,1
"PIK3R5",0.0168693462563361,-5.89253813794597,0,0.415,1
"INPP4B",0.0168908282531588,-2.88069137568162,0.1,0.537,1
"TTC7A",0.019041617417082,2.71859064661691,0.3,0.049,1
"NUP153",0.019041617417082,2.76542120857927,0.3,0.049,1
"IKZF2",0.0194195210458488,1.46383790022199,0.8,0.707,1
"INO80D",0.0202369691649788,2.704751724734,0.3,0.049,1
"NEAT1",0.0212458595437814,1.45459545090975,0.7,0.317,1
"NCOA2",0.0214085205588089,-2.1855364356488,0.1,0.561,1
"AC068587.4",0.0218813268814794,-6.4276183846802,0,0.39,1
"SPIDR",0.0222973142919849,-2.56335405021899,0.1,0.537,1
"CNOT6L",0.0251460006157502,3.03823301840025,0.5,0.244,1
"ZEB1",0.0258933751080554,0.755002131693473,0.8,0.488,1
"FOXP1",0.0264147667278164,-1.51178681736073,0.3,0.732,1
"PDE7A",0.026495659139031,-2.43389470370904,0.1,0.512,1
"AGFG1",0.0265963560092155,1.82620494573235,0.5,0.171,1
"PATJ",0.0281665661786645,-5.81718433331377,0,0.366,1
"PHC3",0.0281665661786645,-5.86033500893042,0,0.366,1
"EXT1",0.0297634118172295,3.13123958292291,0.4,0.146,1
"SUPT3H",0.03077570204129,1.70353869021434,0.4,0.122,1
"INKA2",0.032268145375808,3.16038360758658,0.3,0.073,1
