"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","8/39","81/9396",0.0987654320987654,23.7948717948718,13.3014998766963,1.06242370253263e-09,1.69987792405221e-07,1.3084586652244e-07,"3320/3303/3106/567/3326/3312/3105/3107",8
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","8/39","252/9396",0.0317460317460317,7.64835164835165,6.9065080925245,7.17111150739276e-06,0.000573688920591421,0.000441589498086818,"3303/3106/3312/3105/9267/79720/3107/2869",8
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","4/39","44/9396",0.0909090909090909,21.9020979020979,8.97173315066873,3.05331480579988e-05,0.00162843456309327,0.00125346607817048,"3106/3329/3105/3107",4
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","6/39","171/9396",0.0350877192982456,8.45344129554656,6.35015146104184,6.59776329426719e-05,0.00263910531770687,0.0020314165932349,"3320/3337/3303/10808/3326/3312",6
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","6/39","182/9396",0.032967032967033,7.9425190194421,6.10577855521162,9.32662230164347e-05,0.00298451913652591,0.00229729433535218,"3106/567/3105/5295/3107/6432",6
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","4/39","70/9396",0.0571428571428571,13.767032967033,6.92155501636444,0.000190855148828992,0.00450288619809369,0.00346603740248001,"3106/2534/3105/3107",4
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","5/39","134/9396",0.0373134328358209,8.98966704936854,6.01369050486181,0.00021351695730051,0.00450288619809369,0.00346603740248001,"3106/2534/3105/5295/3107",5
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","6/39","216/9396",0.0277777777777778,6.69230769230769,5.46394455084225,0.000238230138781775,0.00450288619809369,0.00346603740248001,"3320/3303/3329/3326/3312/5295",6
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","5/39","139/9396",0.0359712230215827,8.66629773104593,5.87855154951194,0.00025328734864277,0.00450288619809369,0.00346603740248001,"3320/3303/3326/3312/5295",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","5/39","160/9396",0.03125,7.52884615384615,5.37733192879922,0.000485032761778345,0.00776052418845351,0.00597356138190172,"3106/3105/5797/5788/3107",5
"Human Diseases","Immune disease","hsa05330","Allograft rejection","3/39","39/9396",0.0769230769230769,18.5325443786982,7.08306645766792,0.000544927024190617,0.00792621126095443,0.00610109682586624,"3106/3105/3107",3
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","3/39","45/9396",0.0666666666666667,16.0615384615385,6.53821118964329,0.000831673876606665,0.0110889850214222,0.00853560031254209,"3106/3105/3107",3
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","5/39","196/9396",0.0255102040816327,6.14599686028258,4.70019655558572,0.00121422775432261,0.0148168291768228,0.0114050593005807,"3106/3105/5295/3107/9976",5
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","3/39","54/9396",0.0555555555555556,13.3846153846154,5.8921236627369,0.00141676759050866,0.0148168291768228,0.0114050593005807,"3106/3105/3107",3
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","5/39","204/9396",0.0245098039215686,5.90497737556561,4.5725605526806,0.00145064512212072,0.0148168291768228,0.0114050593005807,"3106/567/3105/5295/3107",5
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","5/39","205/9396",0.024390243902439,5.87617260787993,4.55708363281235,0.00148242817910447,0.0148168291768228,0.0114050593005807,"3106/3105/5295/3107/5966",5
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","3/39","56/9396",0.0535714285714286,12.9065934065934,5.76926489139843,0.00157428810003742,0.0148168291768228,0.0114050593005807,"3303/3329/3312",3
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","5/39","213/9396",0.0234741784037559,5.65547128927411,4.43683770759777,0.00175557414296979,0.0156051034930648,0.0120118230834775,"3106/567/3105/5295/3107",5
"Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","3/39","62/9396",0.0483870967741935,11.6575682382134,5.43541175770056,0.00211134072917905,0.0173423718243096,0.0133490625226593,"3303/3312/5295",3
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","5/39","224/9396",0.0223214285714286,5.37774725274725,4.28109683452015,0.00218954493225303,0.0173423718243096,0.0133490625226593,"3106/567/3105/5295/3107",5
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","5/39","226/9396",0.0221238938053097,5.33015656909462,4.25388291914534,0.00227618630194063,0.0173423718243096,0.0133490625226593,"3106/567/3105/5295/3107",5
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","4/39","157/9396",0.0254777070063694,6.13816756491916,4.19138917031778,0.0039153320341696,0.0282244182320435,0.0217253745601914,"3106/3105/5295/3107",4
"Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","3/39","78/9396",0.0384615384615385,9.26627218934911,4.73268970009968,0.00405726012085625,0.0282244182320435,0.0217253745601914,"246175/3329/64282",3
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","3/39","91/9396",0.032967032967033,7.9425190194421,4.29627395445652,0.0062431966632855,0.04162131108857,0.0320374565615967,"5144/5142/2869",3
