"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","17/98","204/9396",0.0833333333333333,7.98979591836735,10.361943760301,2.64625018528081e-11,5.98052541873464e-09,4.56826347774793e-09,"7057/5747/60/3091/6774/23365/5336/2260/3688/4313/1278/2316/3685/5579/9475/817/2335",17
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","17/98","232/9396",0.0732758620689655,7.02551020408163,9.54029793586537,2.03218596161706e-10,2.29637013662728e-08,1.75409735634315e-08,"7057/1282/60/7058/483/27295/10611/1284/7171/1462/3688/4627/1278/3685/832/2335/7168",17
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","15/98","203/9396",0.0738916256157636,7.08454810495627,8.99734507034953,2.34681891507595e-09,1.76793691602389e-07,1.35045018271037e-07,"7057/5747/1282/60/7058/87/1284/3688/1278/2316/3685/5579/9475/2335/8394",15
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","13/98","232/9396",0.0560344827586207,5.37244897959184,6.92297657158055,7.59014335777324e-07,4.28843099714188e-05,3.27574608072319e-05,"5747/60/23365/87/2260/3688/4627/3685/9475/2335/55740/8394/10787",13
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","9/98","101/9396",0.0891089108910891,8.5435441503334,7.82488719636735,9.53149518942114e-07,4.30823582561836e-05,3.29087412855804e-05,"1282/4088/6774/5336/1284/4313/1278/5579/2335",9
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","9/98","116/9396",0.0775862068965517,7.43877551020408,7.1634947872391,3.05973204839754e-06,0.000115249907156307,8.80343957784555e-05,"5747/60/5336/87/1495/3688/4313/5579/9475",9
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","8/98","89/9396",0.0898876404494382,8.61820683329512,7.41326568314843,3.70077141587633e-06,0.000119482048569722,9.12671446922886e-05,"7057/1282/7058/1284/3688/1278/3685/2335",8
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","14/98","333/9396",0.042042042042042,4.03088803088803,5.78126235975283,8.26448567768333e-06,0.000233471720394554,0.000178338901465798,"7057/5747/5743/1282/7058/1284/1452/3516/535/3688/1278/3685/23352/2335",14
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","8/98","103/9396",0.0776699029126214,7.446800079255,6.75385147081728,1.10543459120253e-05,0.000277586908457524,0.000212036576558146,"5747/1282/3554/87/1284/1278/5579/2335",8
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","14/98","362/9396",0.0386740331491713,3.70797158642462,5.39417465924875,2.12356501719053e-05,0.00047992569388506,0.000366594381914997,"3164/7057/3320/5747/1282/7058/1284/2260/3688/1278/3685/9180/3566/2335",14
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","9/98","157/9396",0.0573248407643312,5.49616534511894,5.83238622667153,3.57133111651633e-05,0.000733746211211537,0.000560476845080075,"7057/5747/5743/3091/196527/3685/558/817/6868",9
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","7/98","93/9396",0.0752688172043011,7.21658986175115,6.18513009448723,4.92989772277966e-05,0.000857043757960157,0.000654658483024992,"60/4088/87/2260/1495/9475/7082",7
