"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","12/134","203/9396",0.0591133004926108,4.14498933901919,5.44862563765128,3.12755589228384e-05,0.00379193001660265,0.00312754309867888,"1499/2889/2335/87/81/5908/3678/7408/2316/2885/1729/5500",12
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","12/134","204/9396",0.0588235294117647,4.12467076382792,5.42703650493838,3.28305629143086e-05,0.00379193001660265,0.00312754309867888,"1499/7430/5329/1839/2335/3091/960/3678/2316/2885/5500/5336",12
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","13/134","251/9396",0.051792828685259,3.63168222631861,5.08307896278285,5.77516414760697e-05,0.00404277446672222,0.00333443690351662,"3320/1499/388/3326/9267/2316/6934/7879/6281/10109/1778/4646/55207",13
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","8/134","100/9396",0.08,5.60955223880597,5.57389889311086,8.58495738008223e-05,0.00404277446672222,0.00333443690351662,"7037/1604/928/290/960/3678/3563/3122",8
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","10/134","159/9396",0.0628930817610063,4.41002534497325,5.21601822671598,8.75059408381432e-05,0.00404277446672222,0.00333443690351662,"7037/4973/3133/3678/7879/3916/3122/4481/1778/23673",10
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","12/134","232/9396",0.0517241379310345,3.62686567164179,4.87290248352877,0.000114027271582314,0.00439004995591909,0.00362086599235068,"7430/2335/7114/87/10672/81/3687/3678/1729/5500/10109/3985",12
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","7/134","81/9396",0.0864197530864197,6.05970149253731,5.50078129720374,0.000148256740763842,0.00489247244520678,0.00403525865838426,"3320/3303/567/3326/3133/10437/3122",7
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","8/134","116/9396",0.0689655172413793,4.83582089552239,4.99990474146794,0.000242225436096016,0.00699425946727245,0.00576878999123406,"1499/7430/87/1495/81/5908/7408/5336",8
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","9/134","157/9396",0.0573248407643312,4.01958361060937,4.58915583317344,0.00039730505567464,0.0101974964289824,0.00841078538913566,"1051/5467/5468/3091/8754/488/7879/961/240",9
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","9/134","182/9396",0.0494505494505494,3.46744300475644,4.04303147970139,0.00115074502112094,0.0265822099878936,0.0219247209287252,"1051/3687/10892/7879/3916/3122/1509/3329/8844",9
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","6/134","86/9396",0.0697674418604651,4.89205137105172,4.36115329134609,0.00139009304908979,0.0291919540308856,0.0240772097497849,"1499/1495/4000/3678/6934/488",6
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","6/134","93/9396",0.0645161290322581,4.52383245064998,4.10765175795238,0.00207830624074223,0.040007395134288,0.0329976692609074,"1499/87/1495/81/5908/6934",6
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","8/134","170/9396",0.0470588235294118,3.29973661106234,3.6395210680968,0.00294009556606306,0.0491091713670132,0.0405047164157184,"7430/87/861/8531/81/7408/10109/51762",8
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","5/134","70/9396",0.0714285714285714,5.00852878464819,4.04887830932453,0.00315568696104283,0.0491091713670132,0.0405047164157184,"2034/2889/3091/5908/2885",5
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","10/134","252/9396",0.0396825396825397,2.78251599147121,3.44995952136136,0.00318890723162423,0.0491091713670132,0.0405047164157184,"7037/3303/3133/80223/9267/50807/7879/9559/26286/10109",10
