"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","4/18","81/9396",0.0493827160493827,25.7777777777778,9.8116707010017,1.43074797318646e-05,0.00115890585828103,0.000813267268969144,"3320/3133/3107/567",4
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","3/18","42/9396",0.0714285714285714,37.2857142857143,10.3250263717563,6.46834153981791e-05,0.00261967832362625,0.00183837075342193,"2495/6303/2512",3
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","3/18","61/9396",0.0491803278688525,25.672131147541,8.46923048033185,0.000198217515773774,0.00535187292589191,0.00375570029887152,"490/2495/2512",3
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","4/18","196/9396",0.0204081632653061,10.6530612244898,5.98313377609378,0.000446706615215172,0.00842142657651153,0.00590977303614844,"3091/4067/3133/3107",4
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","4/18","204/9396",0.0196078431372549,10.2352941176471,5.84238721785492,0.000519841146698242,0.00842142657651153,0.00590977303614844,"4067/3133/3107/567",4
"Human Diseases","Immune disease","hsa05330","Allograft rejection","2/18","39/9396",0.0512820512820513,26.7692307692308,7.06472032833322,0.00246299984531114,0.027645628978461,0.0194004413883937,"3133/3107",2
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","2/18","44/9396",0.0454545454545455,23.7272727272727,6.61989259498076,0.00312662925859417,0.027645628978461,0.0194004413883937,"3133/3107",2
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","3/18","159/9396",0.0188679245283019,9.84905660377358,4.93014388267289,0.00321915204332223,0.027645628978461,0.0194004413883937,"3320/2495/2512",3
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","2/18","45/9396",0.0444444444444444,23.2,6.53972872069524,0.00326834849047062,0.027645628978461,0.0194004413883937,"3133/3107",2
"Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","2/18","46/9396",0.0434782608695652,22.695652173913,6.46212494120139,0.00341304061462482,0.027645628978461,0.0194004413883937,"2495/2512",2
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","2/18","54/9396",0.037037037037037,19.3333333333333,5.91899419141578,0.00467633329703619,0.0317789589310707,0.0223010238112777,"3133/3107",2
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","3/18","182/9396",0.0164835164835165,8.6043956043956,4.5384318955705,0.00470799391571418,0.0317789589310707,0.0223010238112777,"3133/3107/567",3
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","3/18","205/9396",0.0146341463414634,7.6390243902439,4.21045802557639,0.00655722287815589,0.0386064452592268,0.0270922422871767,"4067/3133/3107",3
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","3/18","213/9396",0.0140845070422535,7.35211267605634,4.10813998039021,0.00728908967198846,0.0386064452592268,0.0270922422871767,"3133/3107/567",3
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","2/18","70/9396",0.0285714285714286,14.9142857142857,5.11907817543295,0.0077503028237152,0.0386064452592268,0.0270922422871767,"3133/3107",2
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","2/18","71/9396",0.028169014084507,14.7042253521127,5.07795416198421,0.00796593379171449,0.0386064452592268,0.0270922422871767,"102/4067",2
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","3/18","224/9396",0.0133928571428571,6.99107142857143,3.97581359306089,0.00837250165680505,0.0386064452592268,0.0270922422871767,"3133/3107/567",3
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","3/18","226/9396",0.0132743362831858,6.92920353982301,3.95271445119183,0.00857921005760596,0.0386064452592268,0.0270922422871767,"3133/3107/567",3
