"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","10/100","138/9396",0.072463768115942,6.80869565217391,7.12951376414282,1.89434460186093e-06,0.000456537049048485,0.000340982028334968,"2533/9844/2776/7456/5295/6196/6093/10163/3937/3606",10
"Organismal Systems","Immune system","hsa04611","Platelet activation","9/100","126/9396",0.0714285714285714,6.71142857142857,6.69407370667137,7.16930842978459e-06,0.000863901665789044,0.000645237758680614,"6916/5567/54518/2776/5295/3709/6850/6093/3937",9
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","9/100","204/9396",0.0441176470588235,4.14529411764706,4.71055060012189,0.000310054502151215,0.0249077116728143,0.0186032701290729,"5567/5295/3709/4193/3059/6093/3693/2549/10818",9
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","7/100","143/9396",0.048951048951049,4.59944055944056,4.49844151418147,0.000803739221962389,0.0317220129101106,0.0236927897253938,"1436/7048/5295/3709/6850/3937/3716",7
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","5/100","73/9396",0.0684931506849315,6.43561643835616,4.83540356119495,0.00104638960199906,0.0317220129101106,0.0236927897253938,"56034/1021/5295/5728/4193",5
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","7/100","155/9396",0.0451612903225806,4.24335483870968,4.22280632956892,0.00128890563260497,0.0317220129101106,0.0236927897253938,"5567/2776/3709/7226/51422/6093/4208",7
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","8/100","201/9396",0.0398009950248756,3.73970149253731,4.07216852634171,0.00131944996399637,0.0317220129101106,0.0236927897253938,"7704/55589/1436/2313/7048/4193/4208/5090",8
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","7/100","157/9396",0.0445859872611465,4.18929936305732,4.17958309063101,0.00138829209100786,0.0317220129101106,0.0236927897253938,"896/1021/7048/5295/3709/5728/4193",7
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","5/100","78/9396",0.0641025641025641,6.02307692307692,4.62015038462843,0.00141046145979239,0.0317220129101106,0.0236927897253938,"9844/5295/3059/10163/2549",5
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","8/100","205/9396",0.0390243902439024,3.66673170731707,4.00382610512073,0.00149614071748364,0.0317220129101106,0.0236927897253938,"896/1021/9734/5567/5295/6850/4193/3716",8
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","11/100","362/9396",0.0303867403314917,2.85513812154696,3.7332822612611,0.0015620770868484,0.0317220129101106,0.0236927897253938,"56034/896/1021/1436/5295/6850/5728/4193/23678/3716/3693",11
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","5/100","80/9396",0.0625,5.8725,4.5392325849182,0.00157951931502625,0.0317220129101106,0.0236927897253938,"56034/5295/5728/3716/2549",5
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","7/100","169/9396",0.0414201183431953,3.89183431952663,3.93447539949675,0.00211706968045168,0.0392472148452965,0.0293132724985617,"10533/83734/5567/5295/1612/5728/8417",7
"Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","4/100","53/9396",0.0754716981132075,7.09132075471698,4.61218335485211,0.00237214414485536,0.0408347670650101,0.0304989961481403,"6546/5567/2776/161",4
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","8/100","226/9396",0.0353982300884956,3.32601769911504,3.67098746423737,0.00275597476311751,0.0434978080958062,0.0324879894491499,"1021/5567/2776/5295/3709/4193/6093/3716",8
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","6/100","133/9396",0.0451127819548872,4.2387969924812,3.90152191291468,0.00288782128436888,0.0434978080958062,0.0324879894491499,"7048/5295/5728/4193/51422/23678",6
