"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","10/57","204/9396",0.0490196078431373,8.08049535603715,7.98747203214107,3.31421276372116e-07,5.3664246605826e-05,4.02267877268553e-05,"5747/7422/5336/9475/3339/7430/23365/1499/3673/6774",10
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","12/57","333/9396",0.036036036036036,5.9402560455192,7.17085956653334,5.42063097028546e-07,5.3664246605826e-05,4.02267877268553e-05,"56288/1282/9223/5747/7422/1284/3909/5520/5590/1499/2778/3673",12
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","7/57","101/9396",0.0693069306930693,11.4247003647733,8.22877529614411,2.2894340623984e-06,0.000151102648118294,0.000113266737823921,"1282/7422/5336/1729/1284/5590/6774",7
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","9/57","203/9396",0.0443349753694581,7.30827067669173,7.09847964152535,3.14902813944996e-06,0.000155876892902773,0.000116845517805906,"1282/5747/7422/1729/1284/9475/3909/1499/3673",9
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","6/57","93/9396",0.0645161290322581,10.634974533107,7.29484665853639,1.93187184736058e-05,0.000765021251554788,0.00057346090626914,"1282/5747/4792/1284/3909/3673",6
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","8/57","226/9396",0.0353982300884956,5.83511877037727,5.74794138446402,5.92191411058099e-05,0.0019108849744025,0.00143240181494287,"5747/7422/4792/9475/23365/1499/2778/6774",8
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","6/57","116/9396",0.0517241379310345,8.52631578947368,6.37196050643404,6.75565394990784e-05,0.0019108849744025,0.00143240181494287,"1495/5747/5336/9475/7430/1499",6
"Organismal Systems","Immune system","hsa04611","Platelet activation","6/57","126/9396",0.0476190476190476,7.84962406015037,6.04710867904607,0.000107028773028525,0.00264896213245599,0.001985665394345,"5336/9475/5590/23365/2778/3673",6
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","6/57","130/9396",0.0461538461538462,7.6080971659919,5.9270362148343,0.000127198113396749,0.00279835849472848,0.00209765309812183,"1282/7422/4792/1284/5590/2778",6
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","7/57","193/9396",0.0362694300518135,5.97872920643578,5.45969122173249,0.000153427107800445,0.00303785673444881,0.00227718128419608,"56288/5747/5336/4792/9475/5590/6774",7
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","5/57","89/9396",0.0561797752808989,9.26079243051449,6.11712687785403,0.000193450130850105,0.00348210235530189,0.00261018836840811,"1282/1284/3909/3339/3673",5
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","9/57","362/9396",0.0248618784530387,4.09828438499564,4.69646567688152,0.000296026602980165,0.00462490091282133,0.00346683162524087,"1282/9223/5747/3164/7422/1284/3909/5520/3673",9
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","5/57","98/9396",0.0510204081632653,8.41031149301826,5.7609003529313,0.000303655110437764,0.00462490091282133,0.00346683162524087,"483/3164/3949/466/2778",5
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","5/57","103/9396",0.0485436893203883,8.00204394481349,5.58214493325518,0.000382523674353066,0.00540997768013622,0.00405532617171295,"1282/5747/1284/3909/2778",5
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","6/57","170/9396",0.0352941176470588,5.81795665634675,4.9524061763807,0.000542873678267363,0.00716593255312919,0.00537159218496128,"56288/9223/9475/5520/7430/5590",6
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","7/57","253/9396",0.0276679841897233,4.56084876222176,4.48544010261293,0.000791209039206186,0.00912968981430219,0.00684362713352796,"5747/5336/10801/4792/1729/9475/54874",7
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","6/57","184/9396",0.0326086956521739,5.37528604118993,4.68245950497886,0.000823361490920442,0.00912968981430219,0.00684362713352796,"56288/5747/5336/9475/5590/23365",6
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","5/57","122/9396",0.040983606557377,6.755823986195,4.99907332144786,0.000829971801300199,0.00912968981430219,0.00684362713352796,"483/5336/23389/8648/1499",5
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","4/57","78/9396",0.0512820512820513,8.45344129554656,5.16390704399968,0.00124373074234493,0.0129609835254892,0.0097155697878468,"1495/5747/10801/1499",4
