"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","14/81","232/9396",0.0603448275862069,7,8.62883520053528,8.89356446145433e-09,1.72104584706272e-06,1.24911282339087e-06,"60/4478/87/54434/23396/23365/81/2260/4627/8874/5500/3688/3678/8503",14
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","13/81","203/9396",0.0640394088669951,7.42857142857143,8.63442327420492,1.57173136718056e-08,1.72104584706272e-06,1.24911282339087e-06,"60/87/23396/1282/2321/81/2012/1284/5500/5908/3688/3678/8503",13
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","8/81","93/9396",0.0860215053763441,9.97849462365592,8.11396187522603,1.20913176349852e-06,8.82666187353921e-05,6.40627706274656e-05,"60/87/10580/81/2260/1495/5908/6934",8
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","11/81","232/9396",0.0474137931034483,5.5,6.47162640040146,4.34326659524886e-06,0.000237793846089875,0.000172587698916468,"60/7171/483/9124/1282/114793/4627/1284/10611/3688/3678",11
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","8/81","116/9396",0.0689655172413793,8,7.07379579550624,6.430279089681e-06,0.000281646224128028,0.000204415187903543,"60/4478/87/81/1495/5908/3688/8503",8
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","10/81","204/9396",0.0490196078431373,5.68627450980392,6.31011497905349,9.16314734256851e-06,0.000334454878003751,0.000242743026092604,"60/4478/3091/6774/23365/2260/5500/3688/3678/8503",10
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","8/81","138/9396",0.0579710144927536,6.72463768115942,6.31725535038179,2.30530300098951e-05,0.000721230510309574,0.000523459779172053,"60/23396/23365/6197/8874/3688/3678/8503",8
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","9/81","196/9396",0.0459183673469388,5.3265306122449,5.70786082230928,4.43960653799685e-05,0.00121534228977664,0.000882079720049374,"7316/3105/3091/3106/9976/6774/7538/8503/6934",9
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","6/81","81/9396",0.0740740740740741,8.59259259259259,6.39942050834229,6.60104487006762e-05,0.00160625425171645,0.00116579856769615,"3320/3303/567/3326/3105/3106",6
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","9/81","216/9396",0.0416666666666667,4.83333333333333,5.31473472797638,9.42662237833519e-05,0.00206443030085541,0.00149833682013538,"3320/3303/3326/6774/3949/30001/9619/5908/8503",9
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","6/81","103/9396",0.058252427184466,6.75728155339806,5.47844851320627,0.000250229868268513,0.00468272153914428,0.00339865874746833,"3315/87/1282/81/1284/8503",6
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","11/81","362/9396",0.0303867403314917,3.52486187845304,4.56826553104206,0.000256587481596947,0.00468272153914428,0.00339865874746833,"3320/3164/3326/1282/2321/2260/1284/3688/3678/9586/8503",11
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","6/81","106/9396",0.0566037735849057,6.56603773584906,5.37391377748769,0.000292490054242267,0.0048511098517942,0.00352087280759877,"3320/3326/2260/9586/8503/6934",6
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","9/81","253/9396",0.0355731225296443,4.12648221343874,4.70079524780582,0.000310116611530223,0.0048511098517942,0.00352087280759877,"7316/60/87/9267/7323/81/3688/3678/8503",9
