"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","6/31","81/9396",0.0740740740740741,22.4516129032258,11.1554316492005,2.10930741231538e-07,3.39598493382776e-05,2.66438831029311e-05,"3320/3303/567/3106/3312/3105",6
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","6/31","171/9396",0.0350877192982456,10.634974533107,7.315445634231,1.67971982226763e-05,0.00135217445692544,0.00106087567722166,"3320/3303/3337/3312/10808/4780",6
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","4/31","56/9396",0.0714285714285714,21.6497695852535,8.91684328132436,3.15912837272665e-05,0.0016953988933633,0.00133015931483227,"3303/3312/3329/1195",4
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","6/31","216/9396",0.0277777777777778,8.41935483870968,6.34668619224853,6.2671063739436e-05,0.0025225103155123,0.00197908622335061,"3320/3303/3312/3329/5295/4780",6
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","3/31","44/9396",0.0681818181818182,20.6656891495601,7.52243783680705,0.00039301451990417,0.0126550675409143,0.00992878787126325,"3106/3329/3105",3
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","4/31","134/9396",0.0298507462686567,9.04766490129995,5.39815367010124,0.000923060608699822,0.0216974369624504,0.0170231607420336,"3106/2534/5295/3105",4
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","4/31","139/9396",0.0287769784172662,8.72220932931075,5.27702542455725,0.00105825514167532,0.0216974369624504,0.0170231607420336,"3320/3303/3312/5295",4
"Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","3/31","62/9396",0.0483870967741935,14.6659729448491,6.21123343260218,0.00107813351366213,0.0216974369624504,0.0170231607420336,"3303/3312/5295",3
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","5/31","252/9396",0.0198412698412698,6.01382488479263,4.64169576293322,0.00127999495092391,0.0228976874554167,0.017964841416476,"3303/3106/3312/79720/3105",5
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","3/31","70/9396",0.0428571428571429,12.9898617511521,5.7928307285819,0.00153289571219851,0.024679620966396,0.019362893206718,"3106/2534/3105",3
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","4/31","182/9396",0.021978021978022,6.66146756469337,4.43727108579875,0.00284711581276777,0.0416714223505101,0.0326941528738883,"567/3106/5295/3105",4
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","3/31","91/9396",0.032967032967033,9.99220134704006,4.95911156208429,0.00324658083026474,0.043558292806052,0.0341745350554184,"5144/5150/5140",3
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","4/31","196/9396",0.0204081632653061,6.18564845292956,4.22097268655093,0.0037172164351681,0.046036295850928,0.0361187022040625,"3106/5295/9976/3105",4
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","4/31","204/9396",0.0196078431372549,5.94307400379507,4.1066012647998,0.00428810845181442,0.0493132471958659,0.0386897003171226,"567/3106/5295/3105",4
