"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.47554135533709,0.817,0.057,0,"0","SKAP1"
0,3.76667028129249,0.783,0.108,0,"0","IKZF1"
0,2.12905991834442,0.817,0.18,0,"0","PTPRC"
0,3.11747133928281,0.793,0.158,0,"0","ARHGAP15"
0,3.04221384724228,0.841,0.211,0,"0","PARP8"
0,3.72691989607676,0.664,0.071,0,"0","RIPOR2"
0,3.16364612927361,0.65,0.092,0,"0","ETS1"
0,3.17677959252442,0.659,0.104,0,"0","AOAH"
0,2.29428101664719,0.812,0.264,0,"0","CHST11"
0,2.54904938628579,0.697,0.157,0,"0","IQGAP2"
0,1.68044521334989,0.714,0.192,0,"0","FYN"
0,4.04404928032713,0.542,0.034,0,"0","CD247"
0,2.63295653712442,0.719,0.218,0,"0","PIP4K2A"
0,4.81194385297385,0.514,0.02,0,"0","CD96"
0,2.17780841696059,0.765,0.275,0,"0","PRKCH"
0,3.39828341764958,0.561,0.074,0,"0","FYB1"
0,4.32611425850332,0.506,0.026,0,"0","THEMIS"
0,4.30789939704182,0.505,0.025,0,"0","BCL11B"
0,4.04127120967773,0.499,0.03,0,"0","SLFN12L"
0,2.54694984269574,0.764,0.298,0,"0","CCND3"
0,3.40023575358028,0.512,0.049,0,"0","CARD11"
0,2.55991929584858,0.512,0.069,0,"0","STAT4"
0,1.85480308549303,0.561,0.122,0,"0","SYTL3"
0,3.25992475347177,0.488,0.062,0,"0","ITGA4"
0,2.89552479071756,0.52,0.101,0,"0","NIBAN1"
0,3.31522212678153,0.485,0.086,0,"0","TRERF1"
0,4.11704532771898,0.425,0.03,0,"0","SAMD3"
0,3.33957828635912,0.472,0.079,0,"0","AC079793.1"
0,3.92397728456755,0.417,0.025,0,"0","ITK"
0,3.68947288521046,0.428,0.046,0,"0","EMB"
0,2.68463875639989,0.487,0.107,0,"0","STK10"
0,3.55852859297493,0.459,0.081,0,"0","RESF1"
0,3.17916862167239,0.427,0.055,0,"0","SEMA4D"
0,3.53438110214815,0.415,0.05,0,"0","ITGAL"
0,3.32259333256592,0.395,0.036,0,"0","GRAP2"
0,2.92675244520207,0.369,0.03,0,"0","CAMK4"
0,4.54223054178053,0.348,0.02,0,"0","APBA2"
0,4.96434633534185,0.342,0.015,0,"0","CD226"
0,2.72563519722174,0.372,0.048,0,"0","GNG2"
0,4.5509731704717,0.342,0.02,0,"0","PPP2R2B"
0,5.06527600261643,0.343,0.022,0,"0","LINC02694"
0,4.59701259205564,0.329,0.015,0,"0","SCML4"
0,4.48577384231504,0.326,0.016,0,"0","LINC01934"
0,4.47764015125276,0.301,0.013,0,"0","ZNF831"
0,4.70348357016996,0.286,0.013,0,"0","PYHIN1"
0,3.95683892891362,0.283,0.018,0,"0","MYBL1"
2.00324234151009e-306,1.98161000343904,0.739,0.344,5.04596713402976e-302,"0","ANKRD44"
2.64660350458922e-302,2.21387452489596,0.564,0.149,6.66652956770977e-298,"0","DOCK10"
1.99363450667071e-301,3.31394339043627,0.312,0.03,5.02176595885284e-297,"0","IKZF3"
3.57964852215973e-299,2.87298545297965,0.451,0.093,9.01677666246813e-295,"0","APBB1IP"
3.20100808067783e-298,2.70895629102788,0.476,0.106,8.06301925441937e-294,"0","MYO1F"
5.17696983277211e-298,2.2331435152073,0.551,0.144,1.30402693117697e-293,"0","DOCK2"
1.77492391728567e-296,4.51815037258972,0.274,0.022,4.47085585525088e-292,"0","TRG-AS1"
5.95534996812357e-296,2.24810342145779,0.508,0.118,1.50009310347065e-291,"0","PRKCB"
7.18828226268338e-285,1.78184542119843,0.659,0.236,1.81065641914732e-280,"0","PITPNC1"
1.05680079779367e-280,2.24852448214206,0.489,0.112,2.66197552956248e-276,"0","INPP5D"
1.17748871712675e-276,3.60341016347927,0.294,0.031,2.96597632957058e-272,"0","IL7R"
