"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.32418847455348,0.429,0.023,0,"0","LINC02694"
0,4.42070886574322,0.623,0.03,0,"0","THEMIS"
0,4.29751549783418,0.562,0.036,0,"0","CD96"
0,4.28835006024319,0.275,0.013,0,"0","CD2"
0,4.05549020388123,0.368,0.024,0,"0","LINC01934"
0,9.06766585949302,0.27,0.001,0,"1","PLA2G4F"
0,8.65295733343031,0.467,0.003,0,"1","AC096531.2"
0,8.550723888987,0.587,0.004,0,"1","AC092640.1"
0,8.1279110296939,0.849,0.008,0,"1","ROS1"
0,8.10777289051467,0.649,0.005,0,"1","AC010998.1"
1.13061295251009e-261,4.79453771717235,0.286,0.02,2.84790096607768e-257,"2","MYRF"
0,3.99640037497862,0.774,0.081,0,"2","SCEL"
0,3.76851645251738,0.803,0.119,0,"2","CLIC5"
1.39004791599051e-99,3.52575033496696,0.259,0.054,3.50139169558848e-95,"2","AC025580.2"
0,3.50922511746886,0.83,0.124,0,"2","LAMA3"
0,7.36215165797588,0.42,0.002,0,"3","SEMA3E"
0,4.91635367174389,0.266,0.006,0,"3","C2orf91"
0,4.81965160470204,0.268,0.005,0,"3","AC111152.2"
0,4.72360703010356,0.929,0.053,0,"3","RTKN2"
0,4.56921901236379,0.634,0.023,0,"3","CTNND2"
0,6.7200003103698,0.317,0.01,0,"4","CCDC80"
0,5.52933615761248,0.471,0.02,0,"4","DCN"
0,5.52403230454995,0.484,0.021,0,"4","FBLN1"
0,5.05112223383631,0.293,0.012,0,"4","MGP"
0,4.98883808425892,0.839,0.105,0,"4","LAMA2"
0,16.0359580696895,0.752,0,0,"5","WDR66"
0,14.5561961607656,0.387,0,0,"5","AC004554.2"
0,14.5218608135762,0.421,0,0,"5","USP2-AS1"
0,14.3549207568039,0.412,0,0,"5","AK7"
0,14.1262999377032,0.821,0,0,"5","ZBBX"
1.20269976500291e-205,5.18339295582129,0.266,0.017,3.02948043806584e-201,"6","CD86"
1.01844628489889e-218,5.00062112655722,0.338,0.029,2.56536434703182e-214,"6","CPVL"
3.30297017286254e-285,4.68838846471619,0.383,0.026,8.31985156842345e-281,"6","CSF2RA"
2.54161682370863e-190,4.65287086173586,0.306,0.027,6.40207861723968e-186,"6","HCK"
1.64092214786059e-213,4.54502654031699,0.26,0.015,4.13331879824604e-209,"6","SULF2"
0,5.87410785903551,0.348,0.007,0,"7","ADRA1A"
0,5.1478645989713,0.482,0.019,0,"7","AC012349.1"
0,4.87475814557626,0.534,0.025,0,"7","NTNG1"
0,4.84017434736588,0.482,0.02,0,"7","LINC00922"
0,4.71528549072321,0.468,0.021,0,"7","LINC00968"
1.53006467453165e-232,4.98469874091182,0.426,0.042,3.85407990867777e-228,"8","HIST1H2AC"
2.44785341984327e-124,4.55286561958167,0.282,0.034,6.16589797924322e-120,"8","DNAJB1"
1.74172829901237e-294,4.38528439966366,0.78,0.138,4.38723941238226e-290,"8","HSP90AA1"
